2025-05-29 15:27:25,329 - INFO - Using device: cpu
2025-05-29 15:27:25,356 - INFO - 数据加载成功
2025-05-29 15:27:25,358 - INFO - BirdsVariety 标准化前: ['Cobb', 'SZ901Plus', 'SZ901', 'Cobb500', 'L1', 'Cobb 500', 'COBB', 'sz901', 'SZ901PLUS', 'SZ901/SZ901Plus', 'SZ901 ', '901.0']
2025-05-29 15:27:25,358 - INFO - BirdsVariety 标准化后: ['Cobb', 'SZ901 Plus']
2025-05-29 15:27:25,358 - INFO - BirdsVariety 编码: {'Cobb': 0, 'SZ901 Plus': 1}
2025-05-29 15:27:25,358 - INFO - FarmSupervisor 编码: {'丁家保': 0, '余涛': 1, '公赔河': 2, '刘乾乾': 3, '史成志': 4, '姚闯': 5, '张换吉': 6, '张明明': 7, '张玉风': 8, '戈兆康': 9, '李晓': 10, '李芳昌': 11, '李荣': 12, '李豪': 13, '杨健健': 14, '杨文杰': 15, '王勇': 16, '王志远': 17, '罗冲': 18, '薄明龙': 19, '陈智': 20, '陈铁楠': 21, '高阳阳': 22}
2025-05-29 15:27:25,368 - INFO - 训练集大小: 217, 批次数量: 4
2025-05-29 15:27:25,369 - INFO - 验证集大小: 55, 批次数量: 1
2025-05-29 15:27:25,379 - INFO - 使用 TransformerWithPostFusion 模型, hidden_dim=128, nhead=8, num_layers=3
2025-05-29 15:27:46,065 - INFO - Epoch 58/200 | Train Loss: 0.264624 | Val Loss: 1.169881 | Train R2: 0.0418 | Val R2: 0.1201 | Best Val R2: 0.2314
2025-05-29 15:27:46,420 - INFO - Epoch 59/200 | Train Loss: 0.265735 | Val Loss: 1.171676 | Train R2: -0.0229 | Val R2: 0.1179 | Best Val R2: 0.2314
2025-05-29 15:27:46,819 - INFO - Epoch 60/200 | Train Loss: 0.263941 | Val Loss: 1.172155 | Train R2: 0.0488 | Val R2: 0.1169 | Best Val R2: 0.2314
2025-05-29 15:27:47,132 - INFO - Epoch 61/200 | Train Loss: 0.264053 | Val Loss: 1.172181 | Train R2: 0.1054 | Val R2: 0.1169 | Best Val R2: 0.2314
2025-05-29 15:27:47,437 - INFO - Epoch 62/200 | Train Loss: 0.264787 | Val Loss: 1.186980 | Train R2: 0.1120 | Val R2: 0.0737 | Best Val R2: 0.2314
2025-05-29 15:27:47,681 - INFO - Epoch 63/200 | Train Loss: 0.267131 | Val Loss: 1.191791 | Train R2: 0.0151 | Val R2: 0.0349 | Best Val R2: 0.2314
2025-05-29 15:27:48,063 - INFO - Epoch 64/200 | Train Loss: 0.265330 | Val Loss: 1.186110 | Train R2: -0.0568 | Val R2: 0.0109 | Best Val R2: 0.2314
2025-05-29 15:27:48,469 - INFO - Epoch 65/200 | Train Loss: 0.259792 | Val Loss: 1.181938 | Train R2: -0.0270 | Val R2: -0.0072 | Best Val R2: 0.2314
2025-05-29 15:27:48,469 - INFO - Early stopping at epoch 65
2025-05-29 15:27:48,482 - INFO - TransformerWithPostFusion 验证集还原后指标: {'R2': 0.23139621015587442, 'MAE': 32.392616, 'MAPE': 0.07899268}
2025-05-29 15:27:48,490 - INFO - 使用 TransformerWithFixedToken 模型, hidden_dim=128, nhead=8, num_layers=3
2025-05-29 15:27:49,002 - INFO - Epoch 1/200 | Train Loss: 0.280693 | Val Loss: 0.903487 | Train R2: -0.1228 | Val R2: 0.2057 | Best Val R2: 0.2057
2025-05-29 15:27:49,437 - INFO - Epoch 2/200 | Train Loss: 0.190609 | Val Loss: 0.684822 | Train R2: 0.2376 | Val R2: 0.3979 | Best Val R2: 0.3979
2025-05-29 15:27:49,920 - INFO - Epoch 3/200 | Train Loss: 0.177750 | Val Loss: 0.542084 | Train R2: 0.2890 | Val R2: 0.5234 | Best Val R2: 0.5234
2025-05-29 15:27:50,236 - INFO - Epoch 4/200 | Train Loss: 0.144028 | Val Loss: 0.666241 | Train R2: 0.4239 | Val R2: 0.4143 | Best Val R2: 0.5234
2025-05-29 15:27:50,467 - INFO - Epoch 5/200 | Train Loss: 0.143630 | Val Loss: 0.585692 | Train R2: 0.4255 | Val R2: 0.4851 | Best Val R2: 0.5234
2025-05-29 15:27:50,706 - INFO - Epoch 6/200 | Train Loss: 0.128426 | Val Loss: 0.458431 | Train R2: 0.4863 | Val R2: 0.5970 | Best Val R2: 0.5970
2025-05-29 15:27:50,965 - INFO - Epoch 7/200 | Train Loss: 0.109757 | Val Loss: 0.440848 | Train R2: 0.5610 | Val R2: 0.6124 | Best Val R2: 0.6124
2025-05-29 15:27:51,407 - INFO - Epoch 8/200 | Train Loss: 0.107764 | Val Loss: 0.442542 | Train R2: 0.5689 | Val R2: 0.6109 | Best Val R2: 0.6124
2025-05-29 15:27:51,937 - INFO - Epoch 9/200 | Train Loss: 0.104883 | Val Loss: 0.444358 | Train R2: 0.5805 | Val R2: 0.6093 | Best Val R2: 0.6124
2025-05-29 15:27:52,403 - INFO - Epoch 10/200 | Train Loss: 0.103493 | Val Loss: 0.445652 | Train R2: 0.5860 | Val R2: 0.6082 | Best Val R2: 0.6124
2025-05-29 15:27:52,920 - INFO - Epoch 11/200 | Train Loss: 0.101883 | Val Loss: 0.445690 | Train R2: 0.5925 | Val R2: 0.6082 | Best Val R2: 0.6124
2025-05-29 15:27:53,405 - INFO - Epoch 12/200 | Train Loss: 0.103111 | Val Loss: 0.584318 | Train R2: 0.5876 | Val R2: 0.4863 | Best Val R2: 0.6124
2025-05-29 15:27:53,843 - INFO - Epoch 13/200 | Train Loss: 0.116451 | Val Loss: 0.585640 | Train R2: 0.5342 | Val R2: 0.4851 | Best Val R2: 0.6124
2025-05-29 15:27:54,165 - INFO - Epoch 14/200 | Train Loss: 0.120735 | Val Loss: 0.437746 | Train R2: 0.5171 | Val R2: 0.6151 | Best Val R2: 0.6151
2025-05-29 15:27:54,481 - INFO - Epoch 15/200 | Train Loss: 0.089112 | Val Loss: 0.347306 | Train R2: 0.6436 | Val R2: 0.6947 | Best Val R2: 0.6947
2025-05-29 15:27:54,779 - INFO - Epoch 16/200 | Train Loss: 0.084578 | Val Loss: 0.345379 | Train R2: 0.6617 | Val R2: 0.6964 | Best Val R2: 0.6964
2025-05-29 15:27:55,136 - INFO - Epoch 17/200 | Train Loss: 0.093227 | Val Loss: 0.338852 | Train R2: 0.6271 | Val R2: 0.7021 | Best Val R2: 0.7021
2025-05-29 15:27:55,452 - INFO - Epoch 18/200 | Train Loss: 0.083938 | Val Loss: 0.334692 | Train R2: 0.6642 | Val R2: 0.7058 | Best Val R2: 0.7058
