批次,"鸡舍号
House No","入雏量 
Bird Placed","种鸡周龄
HE Age(W)","种蛋源
HE Source","入雏日期
Bird in date","合计
Sum",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
G06-65,H20,28900,47W,L4,2024/12/1,10.73,0,0.05,0.14,0.14,0.08,0.1,0.16,0.18,0.81,0.11,0.07,0.04,0.18,0.22,0.18,0.09,0.09,0.1,0.08,0.1,0.08,0.18,0.15,0.11,0.1,0.1,0.12,0.09,0.15,0.15,0.22,0.4,0.93,1.43,1.36,2.21,0,
G12-67,H1,30700,48W,L4,2024/12/9,13.14,0,0.07,0.04,0.11,0.21,0.14,0.13,0.11,0.76,0.09,0.07,0.06,0.07,0.1,0.1,0.1,0.12,0.11,0.08,0.08,0.07,0.06,0.07,0.07,0.07,0.06,0.07,0.1,0.15,0.49,0.5,0.65,1.14,1.99,2.38,2.69,0,
G12-67,H2,30700,48W,L4,2024/12/9,14.37,0,0.06,0.06,0.05,0.05,0.09,0.11,0.12,0.85,0.09,0.02,0.07,0.05,0.12,0.1,0.12,0.12,0.08,0.11,0.15,0.18,0.09,0.15,0.28,0.33,0.44,0.79,0.88,1.11,0.83,0.98,0.82,0.79,1.97,1.03,1.3,0,
G12-67,H3,30400,32W,L7,2024/12/9,7.46,0,0.13,0.1,0.13,0.18,0.17,0.18,0.16,0.67,0.09,0.07,0.09,0.12,0.16,0.17,0.13,0.12,0.13,0.11,0.09,0.08,0.09,0.06,0.1,0.09,0.09,0.1,0.12,0.12,0.11,0.16,0.26,0.54,0.91,0.79,0.86,0,
G12-67,H4,30300,32W,L7,2024/12/9,14.22,0,0.11,0.09,0.15,0.17,0.12,0.13,0.11,0.6,0.08,0.05,0.09,0.12,0.13,0.15,0.11,0.1,0.1,0.11,0.13,0.1,0.1,0.08,0.08,0.07,0.07,0.06,0.08,0.09,0.09,0.1,0.27,0.48,1.42,5.12,3.4,0,
G12-67,H5,30200,32W,L7,2024/12/9,14.26,0,0.12,0.18,0.24,0.17,0.13,0.1,0.12,0.12,0.87,0.09,0.08,0.07,0.06,0.14,0.13,0.12,0.14,0.1,0.11,0.09,0.07,0.08,0.07,0.06,0.07,0.06,0.14,0.15,0.61,0.94,1.92,1.47,1.95,2.11,1.42,0,
G12-67,H6,30200,32W,L7,2024/12/9,6.61,0,0.1,0.22,0.18,0.16,0.12,0.12,0.1,0.11,0.75,0.14,0.06,0.08,0.1,0.11,0.1,0.11,0.11,0.11,0.06,0.06,0.09,0.07,0.06,0.05,0.06,0.06,0.11,0.06,0.12,0.39,0.23,0.29,0.77,0.67,0.73,0,
G12-67,H7,31000,44W,L6,2024/12/10,17.05,0,0.09,0.11,0.2,0.17,0.14,0.1,0.11,0.99,0.09,0.11,0.06,0.09,0.07,0.09,0.09,0.07,0.1,0.06,0.06,0.05,0.05,0.07,0.08,0.13,0.63,1.34,1.69,1.47,1.53,1.11,1.19,1.17,1.13,1.02,1.58,0,
G12-67,H8,31100,44W,L6,2024/12/10,11.97,0,0.09,0.17,0.29,0.3,0.29,0.17,0.14,0.82,0.06,0.09,0.08,0.05,0.08,0.1,0.11,0.1,0.13,0.23,0.24,0.28,0.46,0.35,0.26,0.18,0.09,0.13,0.07,0.09,0.18,0.26,0.36,0.71,1.59,1.72,1.7,0,
G12-67,H9,31100,44W,L6,2024/12/10,9.13,0,0.09,0.14,0.06,0.07,0.07,0.09,0.05,0.99,0.05,0.06,0.05,0.03,0.02,0.13,0.03,0.08,0.21,0.25,0.3,0.33,0.61,0.72,0.38,0.44,0.2,0.26,0.25,0.22,0.33,0.34,0.21,0.24,0.24,0.45,1.16,0,
G12-67,H10,24700,44W,L6,2024/12/10,10.51,0,0.14,0.11,0.13,0.1,0.1,0.08,0.11,0.79,0.05,0.05,0.06,0.04,0.03,0.12,0.09,0.11,0.23,0.2,0.2,0.23,0.23,0.22,0.22,0.19,0.09,0.13,0.21,0.17,0.32,0.36,0.51,0.66,0.83,0.68,1.31,1.4,
G13-67,H1,29100,29,L3,8-Dec-24,10.01,0.01,0.03,0.1,0.15,0.28,0.15,0.06,0.05,1.26,0.04,0.03,0.04,0.06,0.08,0.13,0.18,0.25,0.19,0.29,0.28,0.24,0.21,0.14,0.1,0.08,0.09,0.08,0.12,0.11,0.16,0.19,0.3,0.47,1.16,1.31,1.59,,
G13-67,H2,29100,29,L3,2024/12/8,11.01,0.01,0.03,0.08,0.3,0.57,0.28,0.17,0.08,1.38,0.04,0.03,0.03,0.06,0.04,0.08,0.09,0.12,0.16,0.15,0.19,0.17,0.12,0.1,0.07,0.08,0.08,0.18,0.31,0.35,0.46,0.45,0.47,0.6,1.18,1.13,1.36,,
G13-67,H3,29600,29,L3,2024/12/8,6.32,0.01,0.07,0.08,0.21,0.31,0.12,0.1,0.08,0.97,0.07,0.05,0.06,0.06,0.11,0.19,0.15,0.26,0.22,0.17,0.14,0.14,0.08,0.07,0.1,0.05,0.05,0.03,0.06,0.08,0.04,0.08,0.1,0.14,0.28,0.53,1.03,,
G13-67,H4,29600,29,L3,2024/12/8,13.7,0.01,0.07,0.14,0.24,0.6,0.25,0.14,0.11,0.92,0.14,0.06,0.05,0.11,0.13,0.2,0.15,0.26,0.18,0.2,0.17,0.15,0.16,0.16,0.16,0.13,0.17,0.17,0.35,0.59,0.68,0.58,0.89,0.91,1.41,1.35,1.73,,
G13-67,H5,30100,44,L6,2024/12/8,8.49,0.02,0.03,0.03,0.05,0.12,0.09,0.08,0.1,0.63,0.06,0.05,0.08,0.05,0.06,0.05,0.06,0.09,0.07,0.04,0.05,0.04,0.07,0.08,0.05,0.08,0.05,0.07,0.08,0.1,0.13,0.21,0.37,0.77,1.32,1.59,1.68,,
G13-67,H6,30100,44,L6,2024/12/8,10.27,0.03,0.03,0.05,0.08,0.05,0.06,0.06,0.07,0.73,0.05,0.03,0.04,0.05,0.03,0.05,0.05,0.09,0.1,0.14,0.28,0.42,0.79,0.81,0.59,0.33,0.32,0.22,0.15,0.21,0.2,0.19,0.39,0.45,0.76,0.97,1.38,,
G13-67,H7,25700,44,L6,2024/12/8,9.84,0.01,0.02,0.09,0.11,0.06,0.08,0.06,0.08,0.08,0.63,0.12,0.05,0.05,0.05,0.07,0.12,0.2,0.3,0.4,0.39,0.53,0.37,0.43,0.5,0.21,0.27,0.23,0.14,0.25,0.27,0.43,0.24,0.27,0.44,0.95,1.3,,
G13-67,H8,25800,44,L6,2024/12/8,15.41,0.01,0.06,0.07,0.1,0.07,0.1,0.04,0.08,0.07,0.78,0.12,0.04,0.03,0.09,0.09,0.09,0.08,0.09,0.13,0.22,0.41,0.61,0.65,0.6,0.49,0.98,0.9,0.83,0.7,1.01,1.16,0.36,0.69,1.08,1.16,1.41,,
G13-67,H9,25200,48,L4,2024/12/9,9.28,0.02,0.13,0.07,0.15,0.2,0.24,0.27,0.07,0.99,0.1,0.06,0.08,0.07,0.11,0.11,0.18,0.13,0.14,0.17,0.12,0.08,0.1,0.11,0.15,0.12,0.08,0.09,0.12,0.17,0.17,0.22,0.31,0.44,0.94,1.21,1.55,,
G13-67,H10,25100,48,L4,2024/12/9,12.32,0.02,0.11,0.08,0.15,0.1,0.11,0.12,0.08,0.96,0.09,0.07,0.11,0.11,0.16,0.11,0.35,0.24,0.16,0.19,0.14,0.17,0.24,0.2,0.22,0.23,0.3,0.37,0.98,0.76,0.78,0.32,0.61,0.78,0.96,1,0.97,,
G14-65,H1,30100,53-54W,L5,7-Dec-24,14.72,0,0.04,0.13,0.12,0.05,0.1,0.07,1.06,0.07,0.03,0.05,0.05,0.03,0.04,0.05,0.13,0.03,0.1,0.06,0.12,0.1,0.17,0.31,0.31,0.25,0.24,0.39,0.4,0.75,1.01,0.91,0.71,1.15,1.8,1.82,2.08,0,
G14-65,H2,35600,53-54W,L5,2024/12/7,10.72,0,0.04,0.17,0.05,0.02,0.11,0.04,0.06,0.91,0.04,0.02,0.04,0.05,0.03,0.04,0.05,0.12,0.06,0.09,0.04,0.05,0.06,0.08,0.05,0.05,0.06,0.26,0.42,0.63,0.66,1.05,0.62,0.81,1.03,1.26,1.65,0,
G14-65,H3,26000,53-54W,L5,2024/12/7,8.95,0,0.04,0.13,0.08,0.02,0.03,0.04,0.09,0.75,0.05,0.06,0.04,0.06,0.02,0.05,0.03,0.03,0.03,0.08,0.05,0.1,0.07,0.05,0.08,0.1,0.07,0.35,0.16,0.37,0.64,0.79,0.55,0.55,1.52,0.79,1.07,0,
G14-65,H4,35200,32W,L7,2024/12/7,6.39,0,0.05,0.08,0.08,0.05,0.09,0.09,0.06,0.68,0.04,0.06,0.02,0.03,0.05,0.05,0.05,0.08,0.09,0.13,0.11,0.09,0.11,0.11,0.09,0.09,0.11,0.2,0.16,0.22,0.26,0.31,0.34,0.51,0.62,0.61,0.72,0,
G14-65,H5,35200,32W,L7,2024/12/7,12.13,0,0.05,0.26,0.05,0.14,0.14,0.14,0.18,0.78,0.11,0.07,0.06,0.09,0.07,0.09,0.09,0.07,0.07,0.08,0.1,0.06,0.08,0.06,0.09,0.09,0.07,0.17,0.31,0.47,0.36,0.4,0.77,0.91,1.68,1.88,2.1,0,
G14-65,H6,35900,28-29W,L3,2024/12/6,18.08,0,0.1,0.3,0.34,0.18,0.16,0.09,0.09,0.77,0.05,0.03,0.04,0.03,0.09,0.11,0.11,0.1,0.12,0.09,0.14,0.12,0.13,0.12,0.11,0.09,0.11,0.13,0.77,2.21,1.21,1.42,1.38,1.84,1.71,1.95,0.86,0.96,
G14-65,H7,35900,28-29W,L3,2024/12/6,20.9,0,0.11,0.29,0.29,0.15,0.1,0.13,0.11,0.77,0.1,0.06,0.08,0.11,0.08,0.14,0.14,0.15,0.1,0.11,0.11,0.12,0.1,0.07,0.07,0.08,0.07,0.13,0.26,1.05,1.44,1.75,1.89,2.92,2.79,2.56,2.45,0,
G14-65,H8,26100,32W,L7,2024/12/7,4.6,0,0.07,0.11,0.07,0.05,0.1,0.13,0.09,0.7,0.06,0.05,0.03,0.05,0.11,0.11,0.06,0.05,0.05,0.07,0.03,0.07,0.1,0.15,0.1,0.15,0.06,0.12,0.11,0.21,0.3,0.16,0.26,0.19,0.31,0.12,0.2,0,
G14-65,H9,26100,32W,L7,2024/12/7,12.23,0,0.07,0.09,0.07,0.07,0.12,0.11,0.07,0.69,0.03,0.04,0.02,0.02,0.02,0.05,0.08,0.03,0.03,0.07,0.06,0.1,0.07,0.11,0.13,0.08,0.2,0.12,0.21,0.27,0.38,0.42,0.71,0.53,2.15,2.34,2.68,0,
G15-64,H1,28300,47W,L4,1-Dec-24,19.57,0,0.06,0.06,0.06,0.08,0.16,0.1,0.18,0.73,0.1,0.05,0.07,0.12,0.08,0.1,0.12,0.11,0.07,0.09,0.1,0.09,0.09,0.1,0.11,0.12,0.11,0.23,0.25,1.05,0.92,1.13,2.47,2.4,2.86,1.84,1.73,1.63,
G15-64,H2,28300,47W,L4,2024/12/1,17.01,0,0.06,0.06,0.11,0.09,0.1,0.11,0.16,0.95,0.09,0.04,0.05,0.07,0.08,0.11,0.11,0.09,0.06,0.07,0.08,0.05,0.07,0.06,0.09,0.08,0.11,0.12,0.15,0.15,0.35,0.76,1.34,2.26,3.22,2.12,1.84,1.7,
G15-64,H3,28900,28W,L3,2024/12/1,9.76,0,0.44,0.2,0.1,0.12,0.1,0.11,0.1,0.81,0.04,0.12,0.1,0.11,0.1,0.16,0.17,0.1,0.18,0.12,0.08,0.08,0.08,0.08,0.07,0.06,0.09,0.11,0.12,0.12,0.17,0.31,0.66,0.83,0.87,0.88,1.04,0.93,
G15-64,H4,28800,28W,L3,2024/12/1,11.28,0,0.26,0.19,0.13,0.2,0.12,0.11,0.08,0.57,0.07,0.1,0.14,0.15,0.16,0.23,0.19,0.13,0.18,0.13,0.12,0.13,0.12,0.08,0.05,0.06,0.07,0.04,0.07,0.11,0.17,0.31,0.92,0.76,0.74,1.13,1.51,1.77,
G15-64,H5,23600,52W,L5,2024/12/1,25.9,0,0.06,0.04,0.05,0.09,0.06,0.08,0.02,0.05,0.55,0.07,0.04,0.05,0.03,0.03,0.03,0.18,0.06,0.03,0.03,0.19,0.04,0.12,0.1,0.06,0.06,0.11,0.28,0.39,0.78,1.92,1.3,3.36,4.24,5.93,5.51,0,
G15-64,H6,23600,52W,L5,2024/12/1,12.2,0,0.03,0.05,0.11,0.34,0.21,0.16,0.08,0.11,0.77,0.06,0.03,0.04,0.05,0.03,0.04,0.18,0.04,0.04,0.03,0.08,0.04,0.16,0.07,0.03,0.06,0.06,0.24,0.15,0.5,0.5,0.83,1.46,1.59,1.66,1.76,0.62,
G15-64,H7,24400,31W,L7,2024/12/3,10.99,0,0.02,0.03,0.05,0.09,0.05,0.11,0.95,0.05,0.09,0.11,0.02,0.05,0.07,0.06,0.05,0.06,0.1,0.05,0.03,0.03,0.06,0.02,0.03,0.07,0.12,0.1,0.09,0.36,0.49,0.94,1.2,1.91,1.97,1.56,0,0,
G15-64,H8,24300,31W,L7,2024/12/3,8.7,0,0.03,0.05,0.08,0.08,0.09,0.12,1.38,0.12,0.16,0.09,0.07,0.06,0.09,0.14,0.14,0.11,0.14,0.12,0.1,0.14,0.08,0.07,0.08,0.08,0.08,0.08,0.3,0.35,0.41,0.71,0.65,0.8,0.99,0.74,0,0,
G15-64,H9,24300,31W,L7,2024/12/3,14.68,0,0.04,0.12,0.09,0.1,0.15,0.13,0.18,0.86,0.17,0.04,0.16,0.12,0.12,0.1,0.07,0.1,0.08,0.06,0.08,0.03,0.06,0.07,0.06,0.07,0.09,0.09,0.11,0.17,0.58,1.17,2.43,2.28,2.55,2.14,0,0,
G15-64,H10,24400,31W,L7,2024/12/3,9.91,0,0.02,0.06,0.08,0.04,0.1,0.14,0.15,0.79,0.12,0.07,0.13,0.11,0.12,0.16,0.09,0.09,0.06,0.05,0.05,0.05,0.06,0.07,0.07,0.06,0.08,0.1,0.08,0.07,0.07,0.09,0.18,0.16,0.47,1.23,2.19,2.46,
G15-64,H11,24400,31W,L7,2024/12/3,10.62,0,0.07,0.1,0.07,0.04,0.07,0.11,0.09,0.76,0.11,0.05,0.11,0.17,0.14,0.18,0.16,0.25,0.27,0.16,0.3,0.11,0.07,0.16,0.09,0.11,0.12,0.14,0.18,0.4,0.71,0.76,0.78,0.78,0.79,0.75,0.8,0.64,
G15-64,H12,24100,28W,L3,2024/12/3,15.31,0,0.04,0.37,0.32,0.1,0.09,0.11,0.05,0.71,0.09,0.03,0.07,0.1,0.11,0.12,0.16,0.16,0.08,0.08,0.08,0.1,0.07,0.06,0.06,0.07,0.09,0.07,0.13,0.15,0.39,0.71,1.49,3.65,2.59,2.8,0,0,
G15-64,H13,24100,28W,L3,2024/12/3,7.55,0,0.23,0.42,0.41,0.29,0.17,0.05,0.05,1.15,0.1,0.02,0.04,0.04,0.04,0.05,0.04,0.04,0.11,0.07,0.05,0.05,0.07,0.06,0.06,0.06,0.06,0.07,0.09,0.1,0.2,0.32,0.42,0.46,0.43,0.42,0.62,0.68,
G15-64,H14,23900,28W,L3,2024/12/3,9.24,0,0.32,0.41,0.38,0.13,0.03,0.05,0.03,0.9,0.06,0.04,0.03,0.03,0.03,0.04,0.03,0.05,0.11,0.06,0.04,0.03,0.05,0.06,0.04,0.06,0.05,0.06,0.07,0.07,0.09,0.17,0.47,1.38,1.34,2.51,0,0,
G15-64,H15,23900,28W,L3,2024/12/3,5.88,0,0.26,0.08,0.35,0.18,0.14,0.1,0.09,0.82,0.08,0.04,0.05,0.05,0.06,0.06,0.08,0.05,0.05,0.06,0.04,0.05,0.06,0.04,0.06,0.04,0.07,0.07,0.09,0.08,0.06,0.09,0.12,0.21,0.35,0.49,0.71,0.65,
G15-64,H16,23000,53W,L5,2024/12/4,9.99,0,0.05,0.09,0.1,0.13,0.07,0.12,0.9,0.06,0.07,0.06,0.07,0.07,0.12,0.18,0.16,0.1,0.1,0.14,0.11,0.1,0.11,0.05,0.08,0.1,0.1,0.12,0.13,0.13,0.3,1.02,1.02,1.11,1,1,0.93,0,
G16-52,H1,28500,43,L6,4-Dec-24,10.18,0,0.04,0.04,0.09,0.13,0.14,0.15,0.22,0.91,0.06,0.05,0.05,0.06,0.22,0.22,0.16,0.15,0.18,0.2,0.16,0.16,0.24,0.16,0.17,0.1,0.16,0.41,0.49,0.62,0.54,0.41,0.58,0.45,0.49,0.53,0.63,0.81,
G16-52,H2,27700,53,L5,4-Dec-24,9.99,0,0.05,0.08,0.1,0.11,0.23,0.23,0.34,1,0.04,0.07,0.1,0.14,0.17,0.16,0.16,0.19,0.22,0.21,0.19,0.15,0.18,0.16,0.14,0.15,0.19,0.19,0.15,0.14,0.25,0.36,0.51,0.46,0.57,0.54,0.76,1.3,
G16-52,H3,28300,43,L6,4-Dec-24,22.05,0,0.05,0.08,0.07,0.07,0.08,0.1,0.09,1.07,0.05,0.06,0.12,0.07,0.08,0.09,0.16,0.12,0.16,0.12,0.12,0.14,0.07,0.13,0.07,0.08,0.11,0.16,0.1,0.17,0.37,0.89,1.64,1.7,3.89,4.31,5.49,0,
G16-52,H4,27400,53,L5,4-Dec-24,16.2,0,0.05,0.08,0.15,0.13,0.24,0.3,0.26,1.08,0.04,0.06,0.09,0.08,0.1,0.11,0.21,0.09,0.19,0.16,0.19,0.16,0.14,0.21,0.19,0.23,0.16,0.18,0.38,0.42,1.1,1.55,0.9,1.14,1.9,2.08,1.84,0,
G16-52,H5,28300,43,L6,4-Dec-24,7.95,0,0.04,0.05,0.09,0.09,0.06,0.08,0.1,0.84,0.05,0.05,0.05,0.08,0.09,0.21,0.29,0.24,0.19,0.11,0.09,0.07,0.07,0.04,0.05,0.06,0.06,0.06,0.07,0.07,0.33,0.58,0.58,0.45,0.81,0.44,0.49,0.92,
G16-52,H6,27700,53,L5,4-Dec-24,8.82,0,0.03,0.11,0.06,0.1,0.12,0.12,0.12,1.05,0.06,0.06,0.06,0.08,0.04,0.09,0.07,0.12,0.11,0.09,0.08,0.1,0.09,0.11,0.08,0.13,0.1,0.17,0.25,0.31,0.47,0.47,0.46,0.47,0.73,0.43,0.79,1.08,
G16-52,H7,28200,43,L6,4-Dec-24,10.27,0,0.04,0.07,0.09,0.11,0.1,0.12,0.13,1.19,0.07,0.06,0.08,0.09,0.1,0.09,0.11,0.12,0.11,0.09,0.11,0.11,0.1,0.09,0.07,0.07,0.08,0.09,0.18,0.28,0.43,0.78,0.69,0.75,0.82,0.99,0.92,0.95,
G16-52,H8,29100,47-48,L4,5-Dec-24,19.65,0,0.07,0.08,0.09,0.11,0.12,0.12,1.08,0.06,0.07,0.07,0.1,0.1,0.1,0.11,0.12,0.12,0.12,0.14,0.15,0.15,0.17,0.16,0.23,0.22,0.22,0.79,0.96,1.55,1.42,1.96,2.23,2.34,2.39,1.91,0,0,
G16-52,H9,28800,31-32,L7,5-Dec-24,9.94,0,0.13,0.07,0.08,0.05,0.11,0.04,0.19,1.05,0.06,0.08,0.08,0.02,0.06,0.1,0.11,0.09,0.06,0.07,0.11,0.13,0.03,0.06,0.06,0.1,0.07,0.05,0.07,0.09,0.17,0.18,0.25,0.43,1.22,1.22,1.91,1.35,
G16-52,H10,29200,47-48,L4,5-Dec-24,11.65,0,0.07,0.08,0.13,0.09,0.16,0.06,0.14,0.88,0.04,0.09,0.05,0.06,0.08,0.11,0.11,0.13,0.07,0.08,0.13,0.1,0.09,0.05,0.1,0.14,0.12,0.2,0.08,0.26,0.56,0.68,0.82,1.02,1.95,2.91,0,0,
G16-52,H11,28900,31-32,L7,5-Dec-24,8.49,0,0.12,0.1,0.08,0.11,0.09,0.11,0.12,0.98,0.04,0.04,0.07,0.1,0.07,0.06,0.1,0.1,0.08,0.08,0.09,0.08,0.07,0.05,0.06,0.06,0.11,0.1,0.09,0.07,0.1,0.2,0.3,0.46,0.52,0.87,1.58,1.21,
G16-52,H12,29100,47-48,L4,5-Dec-24,13.8,0,0.11,0.07,0.09,0.13,0.13,0.16,0.18,0.99,0.04,0.07,0.11,0.11,0.06,0.1,0.14,0.12,0.11,0.09,0.12,0.11,0.08,0.04,0.06,0.07,0.09,0.12,0.19,0.27,0.63,0.84,1.14,1.41,2.45,3.39,0,0,
G16-52,H13,28800,31-32,L7,5-Dec-24,9.09,0,0.08,0.06,0.12,0.03,0.02,0.05,0.1,0.77,0.06,0.04,0.06,0.09,0.03,0.05,0.05,0.05,0.07,0.12,0.14,0.15,0.11,0.13,0.05,0.05,0.11,0.13,0.12,0.15,0.19,0.49,1.06,0.51,0.43,0.75,1.3,1.39,
