index,water_per_diff,water_per_shift_diff,water_per_diff_前1天,water_per_diff_前2天,water_per_diff_前3天,water_per_diff_前5天,water_per_diff_前7天,water_per_shift_diff_前1天,water_per_shift_diff_前2天,water_per_shift_diff_前3天,water_per_shift_diff_前5天,water_per_shift_diff_前7天,Age_interval
max,43.7,36.3,49.64,49.64,42.79,40.36,39.84,36.3,136.8,136.8,62.38,28.44,19 - 21日龄
count,1255.0,1255.0,1255.0,1249.0,1232.0,1190.0,1169.0,1249.0,1232.0,1210.0,1181.0,1153.0,22 - 24日龄
mean,-1.47,-0.97,-0.5,-1.58,-4.17,-3.38,4.78,1.95,3.33,2.86,-3.42,2.01,22 - 24日龄
std,16.04,8.73,14.24,12.95,12.37,12.8,11.06,13.69,12.93,12.69,10.83,9.44,22 - 24日龄
min,-58.29,-35.24,-52.11,-41.49,-39.19,-37.76,-29.37,-31.44,-29.07,-26.43,-29.56,-22.39,22 - 24日龄
25%,-12.99,-6.53,-10.55,-10.97,-12.56,-12.35,-2.99,-4.18,-2.15,-2.53,-9.9,-2.12,22 - 24日龄
50%,-0.93,-0.59,-0.37,-1.72,-4.52,-3.78,4.4,1.66,3.02,2.29,-3.27,1.36,22 - 24日龄
75%,9.9,4.6,9.49,7.07,4.0,5.14,12.03,6.92,7.98,7.18,1.67,4.97,22 - 24日龄
max,56.83,27.37,55.35,46.7,49.64,49.64,42.79,204.37,204.37,204.37,136.8,136.8,22 - 24日龄
count,1300.0,1300.0,1300.0,1287.0,1272.0,1255.0,1213.0,1287.0,1272.0,1262.0,1237.0,1194.0,25 - 27日龄
mean,-10.64,-4.12,-6.52,-3.29,-1.91,-1.96,-6.54,-3.13,-1.24,-0.82,3.21,-2.87,25 - 27日龄
std,21.46,10.51,19.8,17.75,16.13,13.15,12.12,10.04,9.47,9.12,12.91,8.94,25 - 27日龄
min,-122.56,-45.46,-96.84,-70.17,-58.29,-41.49,-39.64,-45.46,-45.46,-35.24,-29.07,-29.56,25 - 27日龄
25%,-24.13,-10.64,-18.2,-14.99,-13.58,-11.28,-14.75,-9.07,-7.16,-6.42,-2.27,-9.8,25 - 27日龄
50%,-9.57,-4.18,-5.75,-2.71,-1.4,-1.94,-6.84,-3.05,-1.28,-0.41,2.95,-2.6,25 - 27日龄
75%,3.98,2.6,7.4,9.36,9.55,6.89,1.7,2.93,4.54,4.65,7.83,3.24,25 - 27日龄
max,55.75,34.94,56.83,56.83,56.83,46.7,49.64,59.27,81.69,81.69,204.37,36.3,25 - 27日龄
count,1315.0,1315.0,1315.0,1313.0,1310.0,1287.0,1259.0,1313.0,1310.0,1302.0,1269.0,1249.0,28 - 30日龄
mean,-25.08,-4.07,-21.01,-16.63,-10.93,-3.65,-1.21,-4.17,-5.4,-3.89,-0.98,1.54,28 - 30日龄
std,26.46,13.61,24.04,23.2,22.04,18.37,14.72,13.28,12.42,11.92,10.92,12.33,28 - 30日龄
min,-169.68,-61.06,-138.32,-135.69,-122.56,-70.17,-52.11,-45.36,-45.36,-45.46,-45.46,-31.44,28 - 30日龄
25%,-40.46,-12.64,-35.57,-30.14,-24.38,-15.42,-11.53,-12.05,-12.74,-10.73,-7.16,-4.39,28 - 30日龄
50%,-23.84,-4.1,-20.88,-15.07,-9.57,-2.48,-0.96,-4.22,-5.78,-4.2,-0.95,1.5,28 - 30日龄
75%,-7.65,4.82,-4.6,-0.86,4.03,9.36,9.03,3.36,1.71,2.77,4.65,6.73,28 - 30日龄
max,49.37,44.16,55.75,55.75,55.75,56.83,55.35,172.37,172.37,172.37,172.09,202.74,28 - 30日龄
count,1314.0,1314.0,1314.0,1312.0,1312.0,1309.0,1299.0,1312.0,1312.0,1311.0,1306.0,1295.0,31 - 33日龄
mean,-44.16,-9.75,-34.41,-27.71,-23.76,-15.57,-6.22,-6.05,-3.52,-3.84,-5.26,-2.43,31 - 33日龄
std,40.75,18.58,34.82,29.0,25.77,23.04,20.35,18.22,16.14,13.49,12.31,11.6,31 - 33日龄
min,-209.79,-83.46,-169.68,-169.68,-169.68,-135.69,-96.84,-66.94,-61.06,-61.06,-45.36,-45.46,31 - 33日龄
25%,-65.77,-21.6,-52.62,-42.7,-38.36,-28.86,-18.12,-17.11,-13.29,-12.29,-12.41,-8.47,31 - 33日龄
50%,-36.62,-8.87,-29.41,-25.2,-22.32,-13.85,-4.53,-5.12,-3.41,-4.02,-5.73,-2.43,31 - 33日龄
75%,-15.39,2.84,-9.89,-8.34,-7.09,-0.1,8.15,5.21,5.96,4.82,1.73,3.39,31 - 33日龄
max,54.6,71.56,54.6,54.6,49.37,55.75,56.83,171.12,171.12,64.57,172.37,172.09,31 - 33日龄
count,840.0,840.0,842.0,842.0,840.0,838.0,837.0,842.0,840.0,838.0,838.0,834.0,34 - 35日龄
mean,-79.1,-16.77,-62.46,-48.87,-37.19,-24.73,-18.03,-13.54,-11.3,-6.82,-2.57,-4.96,34 - 35日龄
std,63.19,34.89,48.14,43.28,36.53,26.67,23.42,19.3,19.7,19.48,13.54,13.25,34 - 35日龄
min,-358.0,-324.16,-218.36,-209.79,-169.49,-169.68,-135.69,-83.46,-83.46,-66.94,-61.06,-45.36,34 - 35日龄
25%,-112.88,-24.14,-94.29,-76.06,-56.83,-39.52,-30.65,-25.05,-22.94,-18.33,-11.52,-12.51,34 - 35日龄
50%,-67.91,-12.07,-52.97,-40.52,-31.62,-23.04,-16.94,-12.7,-10.57,-5.83,-2.79,-5.42,34 - 35日龄
75%,-33.99,-1.52,-25.66,-17.96,-10.84,-8.02,-1.71,-0.77,1.79,4.96,6.4,2.24,34 - 35日龄
max,36.6,36.98,41.28,41.28,54.6,49.37,55.75,71.56,58.13,171.12,64.57,172.37,34 - 35日龄
count,1031.0,1031.0,1031.0,1008.0,994.0,971.0,942.0,1008.0,993.0,980.0,958.0,918.0,10 - 12日龄
mean,-5.72,-0.57,-5.14,-3.22,-1.99,-1.92,-1.5,-1.79,-1.12,-0.58,-0.5,0.37,10 - 12日龄
std,8.46,6.38,8.29,7.76,6.59,4.17,3.56,7.39,6.84,5.57,2.67,2.63,10 - 12日龄
min,-30.87,-37.97,-30.87,-25.59,-25.59,-22.36,-17.86,-37.97,-37.97,-25.46,-11.28,-10.34,10 - 12日龄
25%,-11.23,-4.89,-10.87,-8.12,-6.09,-3.57,-1.91,-6.39,-5.33,-3.14,-1.65,-0.21,10 - 12日龄
50%,-5.67,-0.41,-4.27,-1.82,-0.65,-0.37,-0.05,-1.44,-0.07,0.01,-0.02,0.03,10 - 12日龄
75%,-0.21,3.5,0.07,1.72,1.49,0.26,0.12,2.64,3.49,2.18,0.29,0.67,10 - 12日龄
max,33.09,25.72,28.93,28.93,28.93,11.79,11.69,78.41,30.21,29.22,15.88,16.34,10 - 12日龄
