index,water_per_diff,water_per_shift_diff,water_per_diff_前1天,water_per_diff_前2天,water_per_diff_前3天,water_per_diff_前5天,water_per_diff_前7天,water_per_shift_diff_前1天,water_per_shift_diff_前2天,water_per_shift_diff_前3天,water_per_shift_diff_前5天,water_per_shift_diff_前7天,Age_interval
25%,-19.52,-2.55,-21.24,-18.52,-12.56,-6.19,-10.23,-10.11,-11.12,-10.8,-1.61,-3.08,19 - 21日龄
50%,-11.26,2.27,-13.55,-10.22,-4.5,-0.18,-3.77,-2.54,-4.53,-4.61,2.53,0.95,19 - 21日龄
75%,-2.36,7.13,-5.46,-2.08,2.07,6.01,2.43,3.53,0.38,-0.12,6.11,6.08,19 - 21日龄
max,52.38,33.8,74.29,74.29,74.29,33.85,29.46,75.81,75.81,75.81,20.74,20.95,19 - 21日龄
count,966.0,966.0,966.0,966.0,966.0,962.0,956.0,966.0,966.0,964.0,958.0,953.0,22 - 24日龄
mean,-2.65,1.22,-3.87,-6.67,-10.57,-10.02,-0.14,2.8,3.98,2.5,-4.71,-0.26,22 - 24日龄
std,15.09,9.08,14.64,13.84,13.14,12.56,9.37,8.94,7.88,8.54,9.21,5.8,22 - 24日龄
min,-57.69,-40.32,-52.95,-48.8,-48.8,-43.52,-29.25,-40.32,-22.62,-83.91,-83.91,-19.8,22 - 24日龄
25%,-12.14,-4.54,-13.61,-16.4,-19.44,-18.33,-6.28,-2.54,-0.62,-2.54,-10.79,-3.92,22 - 24日龄
50%,-1.97,1.59,-3.78,-6.89,-11.04,-10.03,-0.61,3.39,4.27,2.42,-4.46,-0.2,22 - 24日龄
75%,7.76,6.95,5.88,1.94,-2.22,-1.98,5.94,8.14,8.4,7.27,0.52,3.38,22 - 24日龄
max,58.89,29.26,58.89,52.38,52.38,74.29,36.17,33.8,66.83,37.42,75.81,20.74,22 - 24日龄
count,1043.0,1043.0,1043.0,1043.0,1043.0,1043.0,1041.0,1043.0,1043.0,1043.0,1043.0,1039.0,25 - 27日龄
mean,-4.71,-2.13,-2.58,-1.66,-2.65,-6.75,-12.82,-0.92,0.99,1.41,3.85,-2.96,25 - 27日龄
std,17.16,11.8,15.91,15.47,15.0,13.73,12.31,10.52,9.61,9.21,7.79,10.01,25 - 27日龄
min,-61.31,-47.55,-57.69,-57.69,-57.69,-48.8,-48.8,-45.27,-40.32,-40.32,-22.62,-83.91,25 - 27日龄
25%,-16.36,-9.54,-13.83,-11.63,-12.13,-16.33,-20.78,-7.59,-5.23,-4.22,-0.75,-10.01,25 - 27日龄
50%,-3.97,-1.8,-1.48,-0.74,-1.91,-6.39,-13.24,-0.66,1.16,1.81,4.02,-2.58,25 - 27日龄
75%,7.83,5.33,8.73,9.39,7.69,1.69,-4.87,5.96,7.08,6.96,8.18,3.32,25 - 27日龄
max,50.98,60.92,50.98,58.89,58.89,52.38,74.29,60.92,29.26,66.83,66.83,75.81,25 - 27日龄
count,1118.0,1118.0,1118.0,1117.0,1116.0,1115.0,1115.0,1117.0,1116.0,1115.0,1115.0,1115.0,28 - 30日龄
mean,-15.15,-2.75,-12.4,-10.06,-5.51,-2.19,-3.84,-2.33,-4.55,-2.34,0.57,2.72,28 - 30日龄
std,26.22,18.83,20.53,18.82,17.26,15.46,14.36,13.15,12.24,11.53,9.57,8.93,28 - 30日龄
min,-328.0,-308.65,-82.19,-71.58,-61.31,-57.69,-52.95,-47.55,-47.55,-47.55,-40.32,-40.32,28 - 30日龄
25%,-29.65,-10.68,-26.91,-22.95,-17.22,-12.14,-13.29,-10.32,-11.8,-9.59,-5.82,-2.47,28 - 30日龄
50%,-14.13,-2.21,-12.05,-9.89,-5.03,-1.29,-3.49,-2.37,-4.57,-2.06,0.74,3.17,28 - 30日龄
75%,0.17,6.5,0.88,3.04,7.29,8.73,5.76,6.12,2.69,4.73,6.82,7.67,28 - 30日龄
max,63.93,46.79,63.93,50.98,50.98,58.89,58.89,50.76,60.92,60.92,31.46,66.83,28 - 30日龄
