index,water_per_diff,water_per_shift_diff,water_per_diff_前1天,water_per_diff_前2天,water_per_diff_前3天,water_per_diff_前5天,water_per_diff_前7天,water_per_shift_diff_前1天,water_per_shift_diff_前2天,water_per_shift_diff_前3天,water_per_shift_diff_前5天,water_per_shift_diff_前7天,Age_interval
std,12.85,7.49,12.29,13.35,13.24,12.44,11.86,10.01,8.27,8.38,7.51,8.35,19 - 21日龄
min,-35.51,-24.14,-36.74,-36.74,-36.74,-34.04,-38.36,-29.42,-29.42,-29.42,-36.02,-19.75,19 - 21日龄
25%,-9.15,-3.11,-10.92,-8.46,-5.06,-2.51,-10.17,-9.5,-9.55,-8.75,0.51,-3.46,19 - 21日龄
50%,-0.31,1.93,-1.78,0.87,4.24,6.08,-2.07,-2.58,-3.34,-2.36,4.9,1.88,19 - 21日龄
75%,8.43,6.6,6.47,9.15,13.45,14.31,5.34,4.36,2.4,2.66,9.93,7.89,19 - 21日龄
max,38.77,24.39,38.06,46.12,46.12,42.91,34.89,76.99,26.7,35.51,39.97,39.97,19 - 21日龄
count,725.0,725.0,725.0,720.0,718.0,715.0,714.0,720.0,718.0,716.0,714.0,711.0,22 - 24日龄
mean,3.17,0.31,2.86,1.44,-1.37,0.1,7.25,1.64,2.9,1.59,-3.83,1.83,22 - 24日龄
std,14.1,8.37,13.39,12.88,12.26,13.32,12.38,8.24,7.76,7.58,8.25,6.42,22 - 24日龄
min,-49.55,-35.02,-43.29,-43.29,-35.51,-36.74,-29.26,-27.41,-24.14,-24.14,-29.42,-36.02,22 - 24日龄
25%,-5.93,-5.12,-6.3,-7.53,-9.78,-9.31,-0.77,-3.52,-1.53,-3.27,-9.55,-2.21,22 - 24日龄
50%,3.66,0.62,2.85,1.37,-1.05,0.31,7.68,1.87,3.29,1.85,-3.57,2.3,22 - 24日龄
75%,12.49,5.45,11.63,10.24,7.04,8.52,15.39,6.63,7.95,6.59,2.37,6.09,22 - 24日龄
max,49.95,27.83,49.95,49.95,38.77,46.12,46.12,54.02,27.83,23.19,23.62,23.62,22 - 24日龄
count,684.0,684.0,684.0,683.0,679.0,669.0,665.0,683.0,679.0,674.0,667.0,664.0,25 - 27日龄
mean,-1.78,-2.6,0.83,2.59,2.77,1.1,-2.98,-1.75,-0.01,0.44,2.75,-2.89,25 - 27日龄
std,16.08,9.43,15.25,14.56,14.07,12.78,11.94,8.67,8.8,8.73,7.65,9.37,25 - 27日龄
min,-59.07,-40.8,-53.99,-49.77,-49.55,-43.29,-36.74,-35.02,-35.02,-35.02,-24.14,-29.42,25 - 27日龄
25%,-11.84,-8.11,-8.2,-6.5,-6.23,-7.95,-11.67,-6.61,-5.37,-5.17,-1.52,-9.57,25 - 27日龄
50%,-0.7,-2.6,2.17,3.66,3.53,1.2,-2.23,-1.95,-0.36,0.6,3.24,-3.09,25 - 27日龄
75%,9.37,3.21,11.38,12.4,11.87,9.94,5.51,3.55,5.17,5.5,7.82,4.18,25 - 27日龄
max,43.24,37.69,43.24,43.24,49.95,49.95,30.86,37.69,54.02,54.02,27.83,23.19,25 - 27日龄
count,605.0,605.0,605.0,605.0,605.0,604.0,595.0,605.0,605.0,605.0,600.0,590.0,28 - 30日龄
mean,-3.96,2.19,-6.16,-5.38,-2.25,2.78,2.69,-0.59,-3.12,-3.05,-0.08,1.77,28 - 30日龄
std,17.88,11.56,16.88,16.58,16.33,14.81,13.39,11.44,10.22,9.58,9.02,8.52,28 - 30日龄
min,-60.71,-36.22,-60.71,-60.71,-59.07,-49.77,-43.29,-40.8,-40.8,-40.8,-35.02,-27.41,28 - 30日龄
25%,-15.81,-4.63,-16.7,-15.66,-12.53,-5.99,-6.25,-7.81,-9.96,-8.46,-5.8,-3.13,28 - 30日龄
50%,-4.28,2.41,-6.15,-4.77,-0.98,4.27,2.59,-0.63,-3.39,-3.07,-0.42,2.27,28 - 30日龄
75%,7.79,9.61,4.87,5.88,8.82,12.73,11.49,6.73,2.94,2.68,5.25,7.05,28 - 30日龄
max,65.82,43.17,50.63,42.48,43.24,43.24,49.95,43.17,43.17,37.69,54.02,54.02,28 - 30日龄
count,539.0,539.0,539.0,538.0,537.0,536.0,536.0,538.0,537.0,536.0,536.0,535.0,31 - 33日龄
mean,9.06,3.74,5.32,-0.02,-4.39,-5.24,1.05,5.64,4.8,2.15,-3.16,-1.76,31 - 33日龄
std,19.87,14.06,20.14,18.94,17.51,16.76,15.55,13.67,13.27,12.13,10.1,9.05,31 - 33日龄
min,-53.38,-45.25,-53.38,-53.62,-60.71,-60.71,-51.44,-37.76,-37.76,-36.22,-40.8,-35.02,31 - 33日龄
25%,-3.17,-4.73,-7.92,-13.47,-16.35,-16.3,-8.96,-2.78,-2.84,-5.13,-9.78,-6.72,31 - 33日龄
50%,11.61,4.65,7.16,0.45,-4.83,-4.7,2.26,6.28,5.68,2.03,-3.42,-2.36,31 - 33日龄
75%,22.49,13.08,18.57,12.95,7.53,6.21,11.85,14.12,12.7,9.71,2.78,3.47,31 - 33日龄
max,68.29,47.35,68.29,65.82,50.63,35.36,43.24,50.3,43.07,43.17,43.17,37.69,31 - 33日龄
count,343.0,343.0,343.0,340.0,339.0,338.0,337.0,340.0,339.0,339.0,337.0,337.0,34 - 35日龄
mean,12.47,1.99,10.48,10.39,8.81,-3.44,-6.36,0.43,1.88,6.68,2.72,-2.34,34 - 35日龄
std,20.81,16.93,19.29,19.8,19.62,17.3,16.53,16.59,15.07,13.93,12.94,10.9,34 - 35日龄
min,-57.46,-49.14,-53.67,-53.38,-53.38,-53.62,-60.71,-49.14,-45.25,-37.76,-36.22,-40.8,34 - 35日龄
25%,-0.22,-9.06,-0.64,-1.81,-2.47,-15.73,-16.7,-9.5,-7.78,-2.37,-4.28,-9.78,34 - 35日龄
50%,13.34,1.44,12.14,12.62,10.93,-3.0,-5.83,1.23,2.19,7.12,3.02,-2.38,34 - 35日龄
75%,24.26,12.84,23.24,23.44,21.36,9.02,4.17,10.45,11.0,15.17,10.41,4.91,34 - 35日龄
max,69.69,63.8,69.69,68.29,68.29,46.09,33.45,91.76,63.07,50.3,42.32,43.17,34 - 35日龄
count,818.0,818.0,818.0,787.0,758.0,702.0,666.0,787.0,758.0,731.0,686.0,640.0,10 - 12日龄
mean,-3.61,0.06,-3.67,-1.7,-0.04,-0.54,0.02,-1.93,-1.6,-0.63,-0.19,0.05,10 - 12日龄
std,9.71,7.0,8.76,8.49,7.15,4.43,2.39,7.59,7.68,6.87,3.48,2.12,10 - 12日龄
min,-30.92,-27.81,-25.97,-25.13,-28.15,-28.15,-18.1,-27.81,-27.81,-23.3,-17.52,-12.83,10 - 12日龄
25%,-10.07,-4.83,-9.54,-6.99,-3.54,-1.45,-0.14,-7.45,-7.2,-4.65,-1.24,-0.16,10 - 12日龄
50%,-3.16,-0.03,-3.17,-0.91,-0.01,0.02,0.04,-2.44,-1.05,-0.02,-0.0,0.02,10 - 12日龄
75%,2.35,4.4,1.54,2.53,2.69,0.66,0.56,3.0,3.03,2.11,0.29,0.31,10 - 12日龄
max,30.16,23.73,27.73,24.87,24.87,16.9,15.27,23.5,26.52,26.52,17.43,17.43,10 - 12日龄
