Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE,Age_interval
"[-6.04, -3.08)",71,0.08953341740226986,61,10,0.14084507042253522,1.0326403691075763,0.07470002522752414,0.008943558107957066,water_per_diff_前3天,0.000868987687081176,16 - 18日龄
"[-3.08, 19.04)",432,0.544766708701135,295,137,0.31712962962962965,-0.008653971559994256,4.0863320588997655e-05,5.10789913463097e-06,water_per_diff_前3天,0.0010331933657326238,16 - 18日龄
"[19.04, inf)",59,0.07440100882723834,35,24,0.4067796610169492,-0.3983541709302212,0.012565396389857873,0.0015603710815981463,water_per_diff_前3天,0.0017510519640991712,16 - 18日龄
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,water_per_diff_前3天,,16 - 18日龄
Missing,8,0.01008827238335435,3,5,0.625,-1.2864740258376797,0.018621889213782987,0.0021794265474770623,water_per_diff_前3天,0.001537102359943625,16 - 18日龄
,793,1.0,543,250,0.31525851197982346,,0.17230374772780888,0.02072431971021673,water_per_diff_前3天,,16 - 18日龄
"(-inf, -20.60)",62,0.07818411097099622,39,23,0.3709677419354839,-0.24758097187119232,0.004995390658970136,0.0006228339168573328,water_per_diff_前5天,0.0010976681348770468,16 - 18日龄
"[-20.60, -14.49)",82,0.1034047919293821,67,15,0.18292682926829268,0.720994016217067,0.045702788283962154,0.005592239293430881,water_per_diff_前5天,0.0009345775072253464,16 - 18日龄
"[-14.49, -11.76)",41,0.05170239596469105,37,4,0.0975609756097561,1.4489751494526448,0.07554951092321047,0.008695581279718975,water_per_diff_前5天,0.000667221298772139,16 - 18日龄
"[-11.76, -6.44)",131,0.16519546027742749,108,23,0.17557251908396945,0.770988609123381,0.08241484867027168,0.010054053446439854,water_per_diff_前5天,0.0008196604118249908,16 - 18日龄
"[-6.44, 6.65)",331,0.41740226986128626,224,107,0.32326283987915405,-0.036831184678555284,0.0005700354991502373,7.125041019937937e-05,water_per_diff_前5天,0.0010176010310041588,16 - 18日龄
"[6.65, inf)",109,0.13745271122320302,56,53,0.48623853211009177,-0.7205886248886619,0.07844993950077,0.009599440637725502,water_per_diff_前5天,0.0016247163326150202,16 - 18日龄
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,water_per_diff_前5天,,16 - 18日龄
Missing,37,0.04665825977301387,12,25,0.6756756756756757,-1.5096175771518894,0.11760004330299252,0.013446052677347088,water_per_diff_前5天,0.0016651971197394811,16 - 18日龄
,793,1.0,543,250,0.31525851197982346,,0.40528255683932723,0.04808145166171901,water_per_diff_前5天,,16 - 18日龄
"(-inf, -11.01)",152,0.19167717528373265,113,39,0.2565789473684211,0.2881777705110048,0.015014964057637855,0.0018704028803592128,water_per_diff_前7天,0.0009505365922045685,16 - 18日龄
"[-11.01, -9.05)",56,0.07061790668348046,49,7,0.125,1.1702617469836243,0.07283640147524599,0.008618175078543107,water_per_diff_前7天,0.0008053675297836375,16 - 18日龄
"[-9.05, -6.42)",81,0.1021437578814628,63,18,0.2222222222222222,0.477114566423679,0.02100358489096063,0.002600825944606597,water_per_diff_前7天,0.0008381826459734605,16 - 18日龄
"[-6.42, 3.80)",313,0.39470365699873894,222,91,0.29073482428115016,0.11616947328374028,0.005209013509231149,0.0006507608030174618,water_per_diff_前7天,0.0010528340690058315,16 - 18日龄
"[3.80, 9.39)",67,0.08448928121059268,41,26,0.3880597014925373,-0.32017287338886347,0.009122863162196114,0.001135511938925293,water_per_diff_前7天,0.001075576989539773,16 - 18日龄
"[9.39, inf)",49,0.0617906683480454,26,23,0.46938775510204084,-0.6530460799793569,0.028810997959457577,0.0035387141122746445,water_per_diff_前7天,0.001579339218261394,16 - 18日龄
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,water_per_diff_前7天,,16 - 18日龄
Missing,75,0.09457755359394704,29,46,0.6133333333333333,-1.2369939685743099,0.16154275561609846,0.01899650466883348,water_per_diff_前7天,0.001579885340023128,16 - 18日龄
,793,1.0,543,250,0.31525851197982346,,0.3135405806708278,0.037410895426559794,water_per_diff_前7天,,16 - 18日龄
"(-inf, -7.25)",59,0.07440100882723834,42,17,0.288135593220339,0.1288078721554632,0.0012041045286576985,0.00015040910096093514,water_per_shift_diff_前1天,0.0012235462872408744,16 - 18日龄
"[-7.25, -4.62)",63,0.07944514501891552,54,9,0.14285714285714285,1.0161110671563658,0.06446972096808677,0.007728992288325258,water_per_shift_diff_前1天,0.0009328207193607603,16 - 18日龄
"[-4.62, -1.18)",92,0.11601513240857503,63,29,0.31521739130434784,0.00019049433336948418,4.209819521976733e-09,5.262274458914747e-10,water_per_shift_diff_前1天,0.0009677891389935664,16 - 18日龄
"[-1.18, inf)",577,0.7276166456494325,383,194,0.3362218370883882,-0.09547157195437117,0.006745954461777747,0.0008429242027287731,water_per_shift_diff_前1天,0.0010961734969575072,16 - 18日龄
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,water_per_shift_diff_前1天,,16 - 18日龄
Missing,2,0.0025220680958385876,1,1,0.5,-0.7756484020716891,0.0016741435123904596,0.00020417491571746117,water_per_shift_diff_前1天,0.00123451865126605,16 - 18日龄
,793,1.0,543,250,0.31525851197982346,,0.07409392768073221,0.008926501033959873,water_per_shift_diff_前1天,,16 - 18日龄
"(-inf, -5.24)",57,0.07187894073139975,46,11,0.19298245614035087,0.6550977216190356,0.026672008157557357,0.003275635034723383,water_per_shift_diff_前2天,0.0009537920169887192,16 - 18日龄
"[-5.24, -2.35)",54,0.06809583858764187,46,8,0.14814814814814814,0.97355145273757,0.0513203255675142,0.006173127615385745,water_per_shift_diff_前2天,0.0009609476750498259,16 - 18日龄
"[-2.35, 0.48)",72,0.09079445145018916,51,21,0.2916666666666667,0.11165479292921365,0.0011079116469661192,0.000138417062636191,water_per_shift_diff_前2天,0.0009252411646086278,16 - 18日龄
"[0.48, 14.26)",535,0.6746532156368222,354,181,0.3383177570093458,-0.10484852020374025,0.00755604473777673,0.0009440731986162555,water_per_shift_diff_前2天,0.0011233271027857707,16 - 18日龄
"[14.26, inf)",67,0.08448928121059268,43,24,0.3582089552238806,-0.1925021167260721,0.0032360208498629565,0.00040387919120412914,water_per_shift_diff_前2天,0.0010269131337097954,16 - 18日龄
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,water_per_shift_diff_前2天,,16 - 18日龄
Missing,8,0.01008827238335435,3,5,0.625,-1.2864740258376797,0.018621889213782987,0.0021794265474770623,water_per_shift_diff_前2天,0.001537102359943625,16 - 18日龄
,793,1.0,543,250,0.31525851197982346,,0.10851420017346033,0.013114558650042765,water_per_shift_diff_前2天,,16 - 18日龄
"(-inf, -8.97)",47,0.05926860025220681,28,19,0.40425531914893614,-0.3878828710629255,0.009477771516137927,0.0011773499863606193,water_per_shift_diff_前3天,0.0010982218888531937,16 - 18日龄
"[-8.97, -2.64)",124,0.15636822194199243,83,41,0.33064516129032256,-0.07037986097939897,0.0007844178980613676,9.80320054107791e-05,water_per_shift_diff_前3天,0.0010046210496650638,16 - 18日龄
"[-2.64, -0.89)",40,0.05044136191677175,35,5,0.125,1.1702617469836243,0.05202600105374713,0.006155839341816503,water_per_shift_diff_前3天,0.000954643153787455,16 - 18日龄
"[-0.89, 2.44)",110,0.13871374527112232,80,30,0.2727272727272727,0.20518085094003724,0.005607520861786661,0.0006997131481659572,water_per_shift_diff_前3天,0.0009678162840557345,16 - 18日龄
"[2.44, 6.70)",153,0.19293820933165196,108,45,0.29411764705882354,0.09982033528221079,0.0018861079926252003,0.00023566566569563612,water_per_shift_diff_前3天,0.001063018289936472,16 - 18日龄
"[6.70, inf)",299,0.3770491803278688,203,96,0.3210702341137124,-0.02679061449773812,0.0002719518731335767,3.39929675640103e-05,water_per_shift_diff_前3天,0.0011320286490721014,16 - 18日龄
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,water_per_shift_diff_前3天,,16 - 18日龄
Missing,20,0.025220680958385876,6,14,0.7,-1.6229462624588926,0.07295188282522404,0.008233858589395768,water_per_shift_diff_前3天,0.0016500680668162949,16 - 18日龄
,793,1.0,543,250,0.31525851197982346,,0.1430056540207159,0.016634451704409275,water_per_shift_diff_前3天,,16 - 18日龄
"(-inf, -10.07)",58,0.07313997477931904,37,21,0.3620689655172414,-0.2092529271508876,0.003318759131903211,0.00041408968109550885,water_per_shift_diff_前5天,0.0010887333998254793,16 - 18日龄
"[-10.07, -7.20)",47,0.05926860025220681,41,6,0.1276595744680851,1.1461641954045638,0.05903484386201628,0.0070002275231121815,water_per_shift_diff_前5天,0.0007973681621101787,16 - 18日龄
"[-7.20, -0.93)",226,0.2849936948297604,171,55,0.24336283185840707,0.35868196919850004,0.03404506204878578,0.0042329660432670925,water_per_shift_diff_前5天,0.0010067986930795713,16 - 18日龄
"[-0.93, 5.31)",264,0.3329129886506936,188,76,0.2878787878787879,0.130060220471929,0.005491750893149892,0.0006859854340557532,water_per_shift_diff_前5天,0.001020559802806601,16 - 18日龄
"[5.31, 9.81)",92,0.11601513240857503,60,32,0.34782608695652173,-0.14703974264931496,0.0025736016834974032,0.0003214107158994971,water_per_shift_diff_前5天,0.0010611761816905739,16 - 18日龄
"[9.81, inf)",52,0.06557377049180328,27,25,0.4807692307692308,-0.6986873609355606,0.03512737560504754,0.004303734381818929,water_per_shift_diff_前5天,0.001330304835341798,16 - 18日龄
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,water_per_shift_diff_前5天,,16 - 18日龄
Missing,54,0.06809583858764187,19,35,0.6481481481481481,-1.3865574843946622,0.14560130342575262,0.0168693853737427,water_per_shift_diff_前5天,0.0016771016400383906,16 - 18日龄
,793,1.0,543,250,0.31525851197982346,,0.2851926966501527,0.03382779915299166,water_per_shift_diff_前5天,,16 - 18日龄
"(-inf, -11.33)",65,0.08196721311475409,31,34,0.5230769230769231,-0.8680217222027043,0.06849538628534342,0.008302863056116404,water_per_shift_diff_前7天,0.0013993741202571446,16 - 18日龄
"[-11.33, -3.29)",268,0.3379571248423707,200,68,0.2537313432835821,0.30316125930024074,0.029201743105782323,0.003636303489587874,water_per_shift_diff_前7天,0.0009659288134888776,16 - 18日龄
"[-3.29, -1.55)",42,0.05296343001261034,39,3,0.07142857142857142,1.7893009553898476,0.10704171682299043,0.01183966564380443,water_per_shift_diff_前7天,0.00068800538824615,16 - 18日龄
"[-1.55, 0.53)",98,0.1235813366960908,82,16,0.16326530612244897,0.8584821229527829,0.07469901168558579,0.00906081048384489,water_per_shift_diff_前7天,0.0008300282822354428,16 - 18日龄
