Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE,Age_interval
"[18.36, inf)",149,0.20355191256830601,119,30,0.20134228187919462,-0.29173066097778116,0.019090525228561705,0.0030063540979308,water_per_diff_前2天,0.0010672863928544891,16 - 18日龄
,732,1.0,616,116,0.15846994535519127,,0.10455353794359994,0.012955782244326688,water_per_diff_前2天,0.000999544820226947,16 - 18日龄
"[-inf, -15.51)",47,0.0644718792866941,38,9,0.19148936170212766,-0.22441316243968035,0.0034999465200203283,0.0005102962211828,water_per_diff_前3天,0.0010287141095163,16 - 18日龄
"[-15.51, -0.40)",240,0.3292181069958848,199,41,0.17083333333333334,-0.08504198680966218,0.0024505123329723495,0.0004572979657399,water_per_diff_前3天,0.0009866146447395,16 - 18日龄
"[-0.40, 2.34)",50,0.06858710562414266,49,1,0.02,2.22704555328078,0.1588196546195482,0.0161042168705647,water_per_diff_前3天,0.0008499639598612,16 - 18日龄
"[2.34, 16.31)",286,0.39231824417009603,244,42,0.14685314685314685,0.09472386217998681,0.0034075440099061442,0.0002667343423741,water_per_diff_前3天,0.0010223178101167,16 - 18日龄
"[16.31, 20.21)",49,0.06721536351165981,41,8,0.16326530612244897,-0.03064421980537492,6.378107289187562e-05,2.1045301319996436e-05,water_per_diff_前3天,0.0009920911386755,16 - 18日龄
"[20.21, inf)",57,0.07818930041152264,42,15,0.2631578947368421,-0.6351553276486885,0.038614171140030386,0.0049929144756027,water_per_diff_前3天,0.0010761605337887,16 - 18日龄
,729,1.0,613,116,0.15912208504801098,,0.20685560969536926,0.0223525051767842,water_per_diff_前3天,0.001001333039495525,16 - 18日龄
"[-inf, -7.79)",213,0.2950138504155125,185,28,0.13145539906103287,0.22455465220687268,0.01376505059513227,0.0017420990607452,water_per_diff_前5天,0.0009684478350827844,16 - 18日龄
"[-7.79, -6.49)",43,0.05955678670360111,41,2,0.046511627906976744,1.3568282234481142,0.06805036330193893,0.0075255215566214,water_per_diff_前5天,0.0008587776650086001,16 - 18日龄
"[-6.49, -3.86)",84,0.11634349030470914,71,13,0.15476190476190477,0.03413385688353057,0.00013398290646926973,2.596817604757064e-06,water_per_diff_前5天,0.0010077046573675,16 - 18日龄
"[-3.86, inf)",382,0.5290858725761773,310,72,0.18848167539267016,-0.2036904842331116,0.023501513645347482,0.0037411864990077,water_per_diff_前5天,0.0010377133049981333,16 - 18日龄
,722,1.0,607,115,0.1592797783933518,,0.10545091044888795,0.013011403933979057,water_per_diff_前5天,0.0010031308894683656,16 - 18日龄
"[-inf, -2.24)",330,0.4667609618104668,280,50,0.15151515151515152,0.07377064713787362,0.0024771363125791128,8.186443557846399e-05,water_per_diff_前7天,0.0010045163204376,16 - 18日龄
"[-2.24, -0.80)",65,0.09193776520509193,62,3,0.046153846153846156,1.379526145773752,0.10793044266437937,0.011472537191448,water_per_diff_前7天,0.0008330045281709,16 - 18日龄
"[-0.80, 7.24)",263,0.371994342291372,216,47,0.17870722433460076,-0.12386514462912356,0.005949382039152159,0.0011829836373569,water_per_diff_前7天,0.0010145073443096,16 - 18日龄
"[7.24, inf)",49,0.06930693069306931,35,14,0.2857142857142857,-0.7327052187290749,0.04673567206827862,0.0060609764778475,water_per_diff_前7天,0.0012467261560281,16 - 18日龄
,707,1.0,593,114,0.16124469589816123,,0.16309263308438926,0.018798361742230867,water_per_diff_前7天,0.0010092513341928122,16 - 18日龄
"[-inf, 0.39)",270,0.36885245901639346,223,47,0.17407407407407408,-0.11263260267709496,0.004861158568296024,0.0007682248670046,water_per_shift_diff_前1天,0.0010596851883108,16 - 18日龄
"[0.39, 4.14)",170,0.23224043715846995,144,26,0.15294117647058825,0.04205998912736343,0.0004049663082124106,0.0007786549573616,water_per_shift_diff_前1天,0.0009734544518588671,16 - 18日龄
"[4.14, 4.98)",46,0.06284153005464481,45,1,0.021739130434782608,2.1370057173431647,0.1376899675695243,0.0142336261562266,water_per_shift_diff_前1天,0.0008506836260261,16 - 18日龄
"[4.98, 6.44)",60,0.08196721311475409,53,7,0.11666666666666667,0.3547249920696534,0.009114351285264829,0.0010350312153301,water_per_shift_diff_前1天,0.0009126684339983,16 - 18日龄
"[6.44, inf)",186,0.2540983606557377,151,35,0.1881720430107527,-0.20772499710164438,0.011756044114966547,0.0016667426838753,water_per_shift_diff_前1天,0.0010009300962855,16 - 18日龄
,732,1.0,616,116,0.15846994535519127,,0.16382648784626413,0.0184822798797982,water_per_shift_diff_前1天,0.0009995448202269467,16 - 18日龄
"[-inf, 2.19)",204,0.27983539094650206,166,38,0.18627450980392157,-0.19037311619968914,0.010810691387949939,0.002844548185411145,water_per_shift_diff_前2天,0.0010198530770101093,16 - 18日龄
"[2.19, 3.67)",53,0.07270233196159122,49,4,0.07547169811320754,0.8407511921608893,0.03821381353805471,0.0043863864268745,water_per_shift_diff_前2天,0.0009146593549173,16 - 18日龄
"[3.67, 4.84)",41,0.056241426611796985,39,2,0.04878048780487805,1.3056397207398545,0.06055577148844069,0.0067982159320852,water_per_shift_diff_前2天,0.0008134129862981,16 - 18日龄
"[4.84, inf)",431,0.5912208504801097,359,72,0.16705336426914152,-0.05811847535762328,0.002036778429870021,0.0010942904834286915,water_per_shift_diff_前2天,0.0010211018093580874,16 - 18日龄
,729,1.0,613,116,0.15912208504801098,,0.11161705484431536,0.015123441027799535,water_per_shift_diff_前2天,0.001001333039495524,16 - 18日龄
"[-inf, 3.34)",270,0.371900826446281,222,48,0.17777777777777778,-0.13868845984395672,0.007496460122213727,0.003151923332897937,water_per_shift_diff_前3天,0.0010199898746051067,16 - 18日龄
"[3.34, 4.83)",39,0.05371900826446281,37,2,0.05128205128205128,1.247605901275934,0.053853108924356484,0.0060886920933609,water_per_shift_diff_前3天,0.0008544848764173001,16 - 18日龄
