,Harveststatus_month,ID_NUM,日龄,鸡舍温度-平均_mean,鸡舍温度-最低_mean,鸡舍温度-最高_mean,eef_high_flg,eef
31513,8,G10_60_H12,28,28.758064516129032,28.633333333333333,28.913978494623656,0,445.7334197781874
31514,8,G10_60_H12,31,29.20555555555556,29.15555555555555,29.372222222222224,0,445.7334197781874
31515,8,G10_60_H12,32,28.95833333333333,28.80208333333333,29.144791666666663,0,445.7334197781874
31516,8,G10_60_H12,33,29.195833333333336,29.058333333333334,29.359375,0,445.7334197781874
31517,8,G10_60_H12,34,26.19375,26.086458333333336,26.375,0,445.7334197781874
31518,8,G10_60_H12,35,26.536046511627905,26.376744186046512,26.68837209302325,0,445.7334197781874
31519,8,G10_60_H12,36,27.65416666666667,27.495833333333334,27.820833333333336,0,445.7334197781874
31520,8,G10_60_H13,-1,32.975,32.660000000000004,33.36,0,442.4877927839679
31521,8,G10_60_H13,0,34.081250000000004,33.73125,34.331250000000004,0,442.4877927839679
31522,8,G10_60_H13,1,34.021875,33.71666666666667,34.271875,0,442.4877927839679
31523,8,G10_60_H13,2,32.85,32.56818181818182,33.10909090909091,0,442.4877927839679
31524,8,G10_60_H13,5,33.49076923076923,33.18615384615384,33.68,0,442.4877927839679
31525,8,G10_60_H13,6,32.40833333333333,32.234375,32.62708333333333,0,442.4877927839679
31526,8,G10_60_H13,7,32.209375,32.03854166666667,32.362500000000004,0,442.4877927839679
31527,8,G10_60_H13,8,31.704166666666666,31.5,31.91875,0,442.4877927839679
31528,8,G10_60_H13,9,30.695833333333336,30.521875,30.865625,0,442.4877927839679
31529,8,G10_60_H13,10,32.188541666666666,31.97083333333333,32.34583333333333,0,442.4877927839679
31530,8,G10_60_H13,11,32.35729166666667,32.2125,32.54375,0,442.4877927839679
31531,8,G10_60_H13,12,31.62291666666667,31.45208333333333,31.835416666666664,0,442.4877927839679
31532,8,G10_60_H13,13,30.23125,30.08020833333333,30.42395833333333,0,442.4877927839679
31533,8,G10_60_H13,14,30.42083333333333,30.273958333333336,30.588541666666668,0,442.4877927839679
31534,8,G10_60_H13,15,30.71566265060241,30.543373493975903,30.91566265060241,0,442.4877927839679
31535,8,G10_60_H13,16,31.085416666666664,30.929166666666664,31.240625,0,442.4877927839679
31536,8,G10_60_H13,17,31.42708333333333,31.260416666666668,31.61875,0,442.4877927839679
31537,8,G10_60_H13,18,31.015625,30.84583333333333,31.214583333333334,0,442.4877927839679
31538,8,G10_60_H13,19,30.36875,30.140625,30.609375,0,442.4877927839679
31539,8,G10_60_H13,20,29.68541666666667,29.504166666666663,29.925,0,442.4877927839679
31540,8,G10_60_H13,21,28.796875,28.617708333333336,29.026041666666668,0,442.4877927839679
31541,8,G10_60_H13,22,29.48125,29.26875,29.7,0,442.4877927839679
31542,8,G10_60_H13,23,29.78333333333333,29.604166666666668,29.979166666666668,0,442.4877927839679
31543,8,G10_60_H13,24,29.870833333333334,29.7,30.058333333333334,0,442.4877927839679
31544,8,G10_60_H13,25,29.84583333333333,29.69270833333333,30.03125,0,442.4877927839679
31545,8,G10_60_H13,26,29.00736842105263,28.875789473684208,29.183157894736844,0,442.4877927839679
31546,8,G10_60_H13,27,28.477083333333336,28.290625,28.679166666666664,0,442.4877927839679
31547,8,G10_60_H13,28,28.73333333333333,28.62150537634409,28.870967741935484,0,442.4877927839679
31548,8,G10_60_H13,31,29.251807228915663,29.08795180722892,29.39879518072289,0,442.4877927839679
31549,8,G10_60_H13,32,28.846875,28.707291666666663,29.03645833333333,0,442.4877927839679
31550,8,G10_60_H13,33,28.985416666666666,28.839583333333334,29.12291666666667,0,442.4877927839679
31551,8,G10_60_H13,34,26.046875,25.947916666666668,26.222916666666663,0,442.4877927839679
31552,8,G10_60_H13,35,26.384883720930237,26.24418604651163,26.54186046511628,0,442.4877927839679
