批次,"鸡舍号
House No","入雏量 
Bird Placed","种鸡周龄
HE Age(W)","种蛋源
HE Source","入雏日期
Bird in date","合计
Sum",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,
G03-66,H9,27900,46,L4,24-Nov-24,6.01,0,0.1,0.13,0.1,0.14,0.12,0.15,0.16,0.78,0.29,0.25,0.26,0.18,0.12,0.32,0.22,0.15,0.11,0.11,0.09,0.05,0.13,0.08,0.17,0.16,0.16,0.06,0.09,0.1,0.1,0.15,0.09,0.18,0.22,0.15,0.15,0.19,,
G03-66,H10,28100,46,L4,24-Nov-24,6.26,0,0.16,0.09,0.09,0.1,0.12,0.12,0.14,0.78,0.09,0.1,0.14,0.1,0.08,0.14,0.14,0.19,0.25,0.21,0.23,0.18,0.17,0.16,0.14,0.19,0.11,0.15,0.16,0.15,0.16,0.16,0.15,0.17,0.13,0.26,0.28,0.27,,
G04-50,H1,32100,45,L4,20-Nov-24,6.96,0.02,0.05,0.12,0.12,0.08,0.09,0.09,0.11,0.1,0.59,0.04,0.07,0.1,0.11,0.15,0.11,0.09,0.12,0.25,0.18,0.22,0.17,0.21,0.24,0.21,0.26,0.24,0.31,0.27,0.26,0.19,0.2,0.27,0.25,0.2,0.23,0.24,0.41,
G04-50,H2,31400,42,L6,22-Nov-24,5.91,0.02,0.08,0.04,0.05,0.05,0.07,0.09,0.72,0.07,0.07,0.06,0.06,0.37,0.47,0.42,0.21,0.18,0.17,0.2,0.41,0.27,0.09,0.11,0.43,0.16,0.12,0.07,0.08,0.06,0.04,0.07,0.11,0.09,0.09,0.1,0.11,0.1,0,
G04-50,H3,31400,42,L6,22-Nov-24,4.86,0.01,0.05,0.1,0.08,0.03,0.04,0.06,1.18,0.05,0.04,0.08,0.02,0.69,0.32,0.12,0.05,0.11,0.11,0.14,0.12,0.09,0.11,0.08,0.08,0.09,0.08,0.07,0.09,0.07,0.07,0.07,0.04,0.05,0.11,0.1,0.27,0,0,
G04-50,H4,31400,42,L6,22-Nov-24,6.2,0.01,0.03,0.07,0.09,0.05,0.06,0.05,1.15,0.04,0.06,0.15,0.04,0.11,0.08,0.16,0.12,0.21,0.12,0.09,0.09,0.06,0.06,0.07,0.08,0.07,0.07,0.09,0.1,0.1,0.09,0.08,0.15,0.19,0.15,0.25,0.48,1.34,0,
G04-50,H5,32000,42,L6,22-Nov-24,3.16,0.01,0.02,0.02,0.05,0.04,0.03,0.04,0.05,0.79,0.04,0.03,0.05,0.03,0.08,0.07,0.1,0.08,0.12,0.08,0.06,0.05,0.05,0.03,0.08,0.05,0.06,0.02,0.03,0.04,0.04,0.11,0.08,0.11,0.08,0.13,0.18,0.25,0,
G04-50,H6,30000,26,L3,22-Nov-24,5.67,0.01,0.05,0.13,0.11,0.19,0.13,0.08,0.09,1.2,0.03,0.06,0.05,0.06,0.18,0.12,0.12,0.16,0.24,0.19,0.56,0.43,0.05,0.06,0.09,0.04,0.1,0.03,0.02,0.06,0.11,0.05,0.07,0.08,0.17,0.17,0.19,0.19,0,
G04-50,H7,32700,51,L5,22-Nov-24,6.42,0.01,0.06,0.04,0.08,0.03,0.08,0.03,0.05,1.04,0.02,0.09,0.19,0.21,0.17,0.1,0.05,0.16,0.11,0.09,0.16,0.12,0.07,0.02,0.04,0.08,0.06,0.1,0.18,0.21,0.29,0.85,0.26,0.28,0.29,0.38,0.43,0,0,
G04-50,H8,32600,51,L5,22-Nov-24,4.79,0.01,0.03,0.06,0.09,0.05,0.06,0.03,0.05,1.03,0.02,0.1,0.25,0.31,0.26,0.18,0.18,0.27,0.14,0.19,0.29,0.11,0.1,0.05,0.04,0.05,0.04,0.05,0.02,0.06,0.05,0.06,0.05,0.13,0.06,0.13,0.2,0,0,
G07-64,H1,31700,43,L4,5-Nov-24,7.71,0.03,0.05,0.08,0.35,0.3,0.14,0.07,0.06,1.23,0.03,0.03,0.05,0.03,0.03,0.03,0.08,0.04,0.1,0.06,0.1,0.05,0.06,0.04,0.06,0.03,0.07,0.26,0.14,0.41,0.39,0.38,0.26,0.36,0.32,0.35,0.49,0.49,0.66,0
G07-64,H2,34900,27,L7,6-Nov-24,6.03,0.03,0.09,0.34,0.3,0.21,0.09,0.07,0.09,1.09,0.06,0.06,0.02,0.03,0.03,0.06,0.07,0.06,0.06,0.07,0.05,0.09,0.08,0.08,0.06,0.1,0.07,0.08,0.07,0.05,0.05,0.06,0.06,0.11,0.24,0.23,0.5,0.59,0.63,0
G07-64,H3,31800,43,L4,5-Nov-24,6,0.03,0.09,0.08,0.51,0.35,0.25,0.09,0.06,1.26,0.08,0.03,0.04,0.03,0.03,0.03,0.16,0.12,0.09,0.05,0.05,0.05,0.04,0.1,0.08,0.05,0.04,0.11,0.07,0.07,0.1,0.09,0.11,0.16,0.13,0.17,0.36,0.38,0.47,0
G07-64,H4,34800,27,L7,6-Nov-24,4.49,0.03,0.39,0.28,0.12,0.05,0.07,0.06,0.07,0.89,0.08,0.05,0.05,0.03,0.04,0.05,0.09,0.1,0.04,0.06,0.05,0.05,0.05,0.13,0.04,0.07,0.09,0.08,0.07,0.09,0.09,0.08,0.09,0.08,0.12,0.16,0.23,0.34,0,0
G07-64,H5,29800,49,L5,5-Nov-24,9.84,0.02,0.03,0.11,0.15,0.18,0.14,0.12,0.1,0.8,0.05,0.03,0.03,0.03,0.06,0.1,0.04,0.05,0.06,0.06,0.06,0.05,0.08,0.04,0.06,0.04,0.1,0.08,0.15,0.28,0.29,0.27,0.4,0.53,0.7,1.06,1.19,1.1,1.17,0
