index,type,size,missing,unique,mean_or_top1,std_or_top2,min_or_top3,1%_or_top4,10%_or_top5,50%_or_bottom5,75%_or_bottom4,90%_or_bottom3,99%_or_bottom2,max_or_bottom1
small_broilers_count,float64,720,0.00%,143,237.94444444444446,1176.8815443242536,0.0,0.0,19.900000000000006,53.0,115.0,623.0,1986.2899999999613,28771.0
small_broilers_weight_kg,float64,720,0.00%,227,191.5305972222222,485.5567098357733,0.0,0.0,18.53,50.35,109.12,591.97,1886.8614999999631,8979.4
pp_dead_culled_count,float64,720,0.00%,264,148.89027777777778,125.79843654401496,18.0,27.380000000000003,53.0,114.0,185.0,252.30000000000007,739.4299999999998,1053.0
dead_culled_weight_kg,float64,720,0.00%,697,304.68994444444445,243.95015448422225,44.41,62.3755,116.252,241.565,367.1424999999999,502.812,1454.9601,2115.62
pp_rejects_count,float64,720,0.00%,18,4.688888888888889,2.407195723925224,0.0,1.0,2.0,4.0,6.0,7.0,13.0,18.0
pp_rejects_weight_kg,float64,720,0.00%,348,126.34645833333333,33.01573478434395,0.0,70.47,96.37,122.01,135.8125,161.641,258.84949999999964,334.94000000000005
age_days,float64,720,0.00%,6,35.766666666666666,0.8972217976079943,33.0,34.0,35.0,36.0,36.0,37.0,37.0,38.0
dead_during_catch_count,float64,720,0.00%,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
birds_caught_count,float64,720,0.00%,656,27915.672222222223,5031.628332956198,15147.0,19536.72,22666.9,26722.0,29731.5,36270.9,39579.92999999999,41100.0
livability_pct,float64,720,0.00%,714,0.9077486209779181,0.04743679763315866,0.6897526501766784,0.7497885242554929,0.8409492872416251,0.9213888567929194,0.9424193392380926,0.9540584192439862,0.9684230980552155,0.9774142480211082
total_caught_weight_kg,float64,720,0.00%,709,59145.416666666664,12605.994815645146,30285.0,35576.37,44051.0,57491.5,65992.25,78893.8,87846.2,99051.0
yield_per_m2,float64,720,0.00%,718,29.60452156734232,3.999142547959149,16.291666666666668,19.76978098290598,24.361156324878127,29.815096779912324,32.70041666666667,34.518195443645084,36.94307280018636,39.58872901678657
final_avg_weight_kg,float64,720,0.00%,720,2.114224978880577,0.20657806225069356,1.5325820676139148,1.6379599821149116,1.8447299034197804,2.1201657885899614,2.2590707563420214,2.3642760332508,2.546213122432962,2.7717770034843205
total_feed_kg,float64,720,0.00%,679,99555.90277777778,18395.58385707155,55529.99999999999,68463.7,79190.0,96555.0,108160.0,129258.0,145709.19999999998,156339.99999999994
fcr,float64,720,0.00%,720,1.6983720970761902,0.13069166279267783,1.469871205151794,1.5153187996690376,1.5660487553424551,1.6697723670315603,1.7551876812611007,1.8590729657349874,2.1491856193430663,2.532776349614396
adjusted_fcr,float64,720,0.00%,720,1.7823158523560463,0.17051895865013347,1.4351287194272735,1.5297791137263406,1.6050173176248874,1.7523587213725804,1.868970927997427,2.0071487786981277,2.327237784963505,2.746710775843904
eef,float64,720,0.00%,720,320.46983399296374,56.53409874820557,123.14183817371008,174.14516807819456,241.10468890051717,326.8566481773761,362.17583877649173,387.5170011090596,425.6668925073956,471.1975534096461
feed_cost,float64,720,0.00%,687,359894.5885416667,66500.03564331366,200740.95,247496.2755,286271.85,349046.325,390998.4,467267.67,526738.7579999999,565169.0999999997
electricity_cost,float64,720,0.00%,459,1945.2906166666667,34728.19572725533,-534574.88,719.1727999999911,966.7200000000249,1431.84,1733.56,2468.48,2960.5268,286331.52
gas_cost,float64,720,0.00%,410,17011.21537136438,6360.005072527649,3959.78,4583.0722000000005,8200.519999999999,17406.35,21604.99764705882,25348.299,30791.46,31511.42
depreciation_cost,float64,720,0.00%,171,36859.0,6067.596885180905,18960.0,27908.4,30600.0,35280.0,38790.0,46440.0,51360.0,53520.0
chick_cost,float64,720,0.00%,171,55288.5,9101.395327771357,28440.0,41862.6,45900.0,52920.0,58185.0,69660.0,77040.0,80280.0
total_cost,float64,720,0.00%,720,470998.59452969773,87132.28488456254,-34370.67000000001,333875.62320000003,382210.65955000004,455525.20583333337,505484.00600000005,612021.0549999999,670328.3901999999,748605.572
cost_per_kg,float64,720,0.00%,720,8.065530339371135,0.9271695134894146,-0.5160761261261263,7.056871471449002,7.316227928098025,7.88838180332956,8.41452191945778,9.083702033707029,11.499720350770751,12.538084079283886
revenue,float64,720,0.00%,709,482626.6,102864.9176956644,247125.6,290303.1792,359456.16,469130.64,538496.76,643773.408,716824.992,808256.16
profit_per_house,float64,720,0.00%,720,11628.0054703023,52335.82588163915,-242259.362,-118271.00200000001,-43107.13194999999,16467.974000000017,40606.151762499954,58297.39240000005,87245.22289999962,577826.67
medicine_per_bird,float64,720,0.00%,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vaccine_per_bird,float64,720,0.00%,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mv_cost_per_bird,float64,720,0.00%,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disinfectant_per_bird,float64,720,0.00%,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
feed_per_bird,float64,720,0.00%,720,12.913170884729052,0.8987513750087452,10.401712624168727,10.937625442743839,11.780862245371543,12.873581954866076,13.54668515671904,14.095367598945018,15.012244080359473,15.945734767025089
electricity_per_bird,float64,720,0.00%,720,0.07192955804101168,1.2560893103403346,-19.1906547960942,0.025964269156278533,0.03767513069234022,0.050156225486195305,0.060371882086167776,0.09636319984597339,0.16586063580808214,10.712792577072731
gas_per_bird,float64,720,0.00%,716,0.6219411436305554,0.23864511348352938,0.1397114064473611,0.1680848010560334,0.2562217077561061,0.6306437909946114,0.7750241994801846,0.8976097125302421,1.2117686348913514,1.5685495772068725
labor_per_bird,float64,720,0.00%,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consumables_per_bird,float64,720,0.00%,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
depreciation_per_bird,float64,720,0.00%,1,1.1999999999999997,2.2219896337601636e-16,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
chick_cost_per_bird,float64,720,0.00%,1,1.8000000000000003,2.2219896337601636e-16,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
cost_per_bird,float64,720,0.00%,720,16.60704158640062,1.4749253730191074,-1.48631066915566,14.563920403620955,15.468121695953869,16.59121775574736,17.1941097569254,17.77279123448992,18.995508379081194,26.648728000598624
Dead,float64,720,0.00%,595,1136.4527777777778,784.2662103690471,260.0,305.04,450.9,887.0,1360.5,2176.7000000000003,4111.279999999995,5192.0
Swollen_Head,float64,720,0.00%,155,44.93611111111111,129.63433681359385,0.0,0.0,0.0,0.0,20.0,135.10000000000002,657.7899999999968,1195.0
Weak,float64,720,0.00%,550,820.9513888888889,432.3391840851645,213.0,281.38,402.9,730.5,987.0,1309.1,2440.539999999998,4432.0
Navel_Disease,float64,720,0.00%,12,0.25,1.2696302835958364,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0
Stick_Anus,float64,720,0.00%,27,1.2986111111111112,5.924513396579194,0.0,0.0,0.0,0.0,0.0,3.0,25.859999999999673,106.0
Lame_Paralysis,float64,720,0.00%,473,446.21666666666664,402.37133362750114,0.0,16.0,115.9,335.0,540.25,884.4000000000001,1875.8299999999977,3718.0
Mortality,int64,720,0.00%,645,2450.1055555555554,1188.6085178023,722.0,970.6,1309.9,2098.0,2997.0,4034.1,6489.48,8213.0
Mortality_rate,float64,720,0.00%,720,0.08087713523994208,0.039199727373398295,0.0249481865284958,0.0316469870071682,0.044753382352941025,0.06864370748299226,0.0987049387166529,0.13708327962763886,0.20816466882279086,0.2757575757575742
