DOCdate,DOCAmount,HouseArea,Density,BirdsVariety,HESource,HEAge,Age,Harveststatus,EstimatedSlaughterDate ,FarmName,FarmSupervisor,HouseAmount,Batch,eef_flg,eef
"03.2024-10-28,2025-..",02.[27300.0 ~ 30500.0),03.[1861.44 ~ 1978.56),00.[-inf ~ 15.74740207833733),"03.901plus,SZ901 PI..","00.L7,L6,大岭头","03.46.0,27.0,30.0,5..",02.[37.0 ~ 38.0),"03.2025-03-24,2025-..","03.2025-01-21,2025-..","04.G02,G23,G28,G03","04.陈铁楠,陈智,公赔河",01.[10.0 ~ 22.0),00.[-inf ~ inf),1,406.9726920297542
"03.2024-10-28,2025-..",02.[27300.0 ~ 30500.0),03.[1861.44 ~ 1978.56),00.[-inf ~ 15.74740207833733),"03.901plus,SZ901 PI..","00.L7,L6,大岭头","03.46.0,27.0,30.0,5..",02.[37.0 ~ 38.0),"03.2025-03-24,2025-..","03.2025-01-21,2025-..","04.G02,G23,G28,G03","04.陈铁楠,陈智,公赔河",01.[10.0 ~ 22.0),00.[-inf ~ inf),0,383.0216475703648
"03.2024-10-28,2025-..",02.[27300.0 ~ 30500.0),03.[1861.44 ~ 1978.56),00.[-inf ~ 15.74740207833733),"03.901plus,SZ901 PI..","00.L7,L6,大岭头","03.46.0,27.0,30.0,5..",02.[37.0 ~ 38.0),"03.2025-03-24,2025-..","03.2025-01-21,2025-..","04.G02,G23,G28,G03","04.陈铁楠,陈智,公赔河",01.[10.0 ~ 22.0),00.[-inf ~ inf),1,398.5367886255423
"03.2024-10-28,2025-..",02.[27300.0 ~ 30500.0),03.[1861.44 ~ 1978.56),00.[-inf ~ 15.74740207833733),"03.901plus,SZ901 PI..","00.L7,L6,大岭头","03.46.0,27.0,30.0,5..",02.[37.0 ~ 38.0),"03.2025-03-24,2025-..","03.2025-01-21,2025-..","04.G02,G23,G28,G03","04.陈铁楠,陈智,公赔河",01.[10.0 ~ 22.0),00.[-inf ~ inf),0,347.5676200676201
"03.2024-10-28,2025-..",00.[-inf ~ 26400.0),01.[1670.0 ~ 1744.0),00.[-inf ~ 15.74740207833733),"03.901plus,SZ901 PI..","00.L7,L6,大岭头","03.46.0,27.0,30.0,5..",02.[37.0 ~ 38.0),"03.2025-03-24,2025-..","04.2025-01-03,2024-..","04.G02,G23,G28,G03","04.陈铁楠,陈智,公赔河",01.[10.0 ~ 22.0),00.[-inf ~ inf),0,385.8322833386561
"03.2024-10-28,2025-..",03.[30500.0 ~ 36800.0),03.[1861.44 ~ 1978.56),01.[15.74740207833733 ~ inf),"03.901plus,SZ901 PI..","00.L7,L6,大岭头","02.48W,37W,47W,38W,..",02.[37.0 ~ 38.0),"03.2025-03-24,2025-..","03.2025-01-21,2025-..","04.G02,G23,G28,G03","04.陈铁楠,陈智,公赔河",01.[10.0 ~ 22.0),00.[-inf ~ inf),0,342.6136269244354
"03.2024-10-28,2025-..",02.[27300.0 ~ 30500.0),03.[1861.44 ~ 1978.56),01.[15.74740207833733 ~ inf),"01.SZ901,Cobb 500,9..","00.L7,L6,大岭头","02.48W,37W,47W,38W,..",02.[37.0 ~ 38.0),"03.2025-03-24,2025-..","03.2025-01-21,2025-..","04.G02,G23,G28,G03","04.陈铁楠,陈智,公赔河",01.[10.0 ~ 22.0),00.[-inf ~ inf),0,361.892189564022
"03.2024-10-28,2025-..",02.[27300.0 ~ 30500.0),03.[1861.44 ~ 1978.56),01.[15.74740207833733 ~ inf),"01.SZ901,Cobb 500,9..","00.L7,L6,大岭头","02.48W,37W,47W,38W,..",02.[37.0 ~ 38.0),"03.2025-03-24,2025-..","03.2025-01-21,2025-..","04.G02,G23,G28,G03","04.陈铁楠,陈智,公赔河",01.[10.0 ~ 22.0),00.[-inf ~ inf),0,380.212277281403
"04.2024-11-27,2024-..",02.[27300.0 ~ 30500.0),02.[1744.0 ~ 1861.44),00.[-inf ~ 15.74740207833733),02.Cobb,"01.L5,L4,大岗垅平,L3","03.46.0,27.0,30.0,5..",02.[37.0 ~ 38.0),"05.2024-12-06,2025-..","04.2025-01-03,2024-..","04.G02,G23,G28,G03","04.陈铁楠,陈智,公赔河",01.[10.0 ~ 22.0),00.[-inf ~ inf),1,415.878056476831
"04.2024-11-27,2024-..",02.[27300.0 ~ 30500.0),02.[1744.0 ~ 1861.44),00.[-inf ~ 15.74740207833733),02.Cobb,"01.L5,L4,大岗垅平,L3","03.46.0,27.0,30.0,5..",02.[37.0 ~ 38.0),"05.2024-12-06,2025-..","04.2025-01-03,2024-..","04.G02,G23,G28,G03","04.陈铁楠,陈智,公赔河",01.[10.0 ~ 22.0),00.[-inf ~ inf),1,408.65649971451097
"00.2024-11-01,2024-..",03.[30500.0 ~ 36800.0),04.[1978.56 ~ 2468.4),00.[-inf ~ 15.74740207833733),02.Cobb,"01.L5,L4,大岗垅平,L3","01.48.0,32W,45.0,30..",03.[38.0 ~ inf),"01.2024-12-17,2024-..","01.2025-03-07,2025-..","01.G06,G1A,G16,G30,..","01.李芳昌,薄明龙,王勇,李明,张换..",00.[-inf ~ 10.0),00.[-inf ~ inf),0,340.0829788815232
"01.2025-01-15,2025-..",03.[30500.0 ~ 36800.0),04.[1978.56 ~ 2468.4),00.[-inf ~ 15.74740207833733),"01.SZ901,Cobb 500,9..","00.L7,L6,大岭头","02.48W,37W,47W,38W,..",02.[37.0 ~ 38.0),"03.2025-03-24,2025-..","02.2025-02-12,2025-..","01.G06,G1A,G16,G30,..","01.李芳昌,薄明龙,王勇,李明,张换..",00.[-inf ~ 10.0),00.[-inf ~ inf),0,319.6171980372294
"01.2025-01-15,2025-..",03.[30500.0 ~ 36800.0),04.[1978.56 ~ 2468.4),00.[-inf ~ 15.74740207833733),"01.SZ901,Cobb 500,9..","00.L7,L6,大岭头","02.48W,37W,47W,38W,..",01.[36.0 ~ 37.0),"01.2024-12-17,2024-..","02.2025-02-12,2025-..","01.G06,G1A,G16,G30,..","01.李芳昌,薄明龙,王勇,李明,张换..",00.[-inf ~ 10.0),00.[-inf ~ inf),0,331.0108416024351
"01.2025-01-15,2025-..",03.[30500.0 ~ 36800.0),04.[1978.56 ~ 2468.4),00.[-inf ~ 15.74740207833733),"01.SZ901,Cobb 500,9..","00.L7,L6,大岭头","02.48W,37W,47W,38W,..",02.[37.0 ~ 38.0),"03.2025-03-24,2025-..","02.2025-02-12,2025-..","01.G06,G1A,G16,G30,..","01.李芳昌,薄明龙,王勇,李明,张换..",00.[-inf ~ 10.0),00.[-inf ~ inf),0,306.0677340573756
"01.2025-01-15,2025-..",03.[30500.0 ~ 36800.0),04.[1978.56 ~ 2468.4),00.[-inf ~ 15.74740207833733),"01.SZ901,Cobb 500,9..","00.L7,L6,大岭头","02.48W,37W,47W,38W,..",02.[37.0 ~ 38.0),"03.2025-03-24,2025-..","02.2025-02-12,2025-..","01.G06,G1A,G16,G30,..","01.李芳昌,薄明龙,王勇,李明,张换..",00.[-inf ~ 10.0),00.[-inf ~ inf),0,362.2116600516891
"01.2025-01-15,2025-..",02.[27300.0 ~ 30500.0),04.[1978.56 ~ 2468.4),00.[-inf ~ 15.74740207833733),02.Cobb,"01.L5,L4,大岗垅平,L3","02.48W,37W,47W,38W,..",02.[37.0 ~ 38.0),"03.2025-03-24,2025-..","02.2025-02-12,2025-..","01.G06,G1A,G16,G30,..","01.李芳昌,薄明龙,王勇,李明,张换..",00.[-inf ~ 10.0),00.[-inf ~ inf),0,342.31129168384075
"01.2025-01-15,2025-..",03.[30500.0 ~ 36800.0),04.[1978.56 ~ 2468.4),00.[-inf ~ 15.74740207833733),02.Cobb,"01.L5,L4,大岗垅平,L3","00.35.0,39.0,51.0,2..",01.[36.0 ~ 37.0),"01.2024-12-17,2024-..","02.2025-02-12,2025-..","01.G06,G1A,G16,G30,..","01.李芳昌,薄明龙,王勇,李明,张换..",00.[-inf ~ 10.0),00.[-inf ~ inf),0,375.4154920568619
"01.2025-01-15,2025-..",03.[30500.0 ~ 36800.0),04.[1978.56 ~ 2468.4),00.[-inf ~ 15.74740207833733),02.Cobb,"01.L5,L4,大岗垅平,L3","00.35.0,39.0,51.0,2..",01.[36.0 ~ 37.0),"01.2024-12-17,2024-..","02.2025-02-12,2025-..","01.G06,G1A,G16,G30,..","01.李芳昌,薄明龙,王勇,李明,张换..",00.[-inf ~ 10.0),00.[-inf ~ inf),0,380.8737606826754
