批次,栋舍 House,"进雏只数
Bird placed No.","公母
Gender","鸡舍面积m2 
House Area","出栏密度
Density","挂鸡只数
Hang No.","挂鸡总重（kg）
Total hung weight","均重（kg）
 Average weight","小毛鸡数量
Small broilers No.","小毛鸡总重（kg）
 Total weight of small broilers","PP死淘鸡只
PP cull and dead No.","死淘总重（kg）
Dead and Cull Weight","PP不合格淘汰鸡
PP Cull","PP淘汰鸡总重
PP Cull bird Weight",日龄Age,"出栏造成死亡只数 
Dead while catching","出鸡只数
Catching No.","成活率
Livability (%)","出鸡总重（kg）
Total Catched weight","单位面积产肉率
Density, Yield(KG)/m2","均重（kg）
Average weight","累计耗料（kg）
Feed cons. Cum.",料肉比 FCR,Adjust FCR (base 2.45KG)              ,欧洲指数 EEF
G17-67,H12,"30,200",叶子琴,1920,13-Jan-00,"26,479","55,391",2.09,82,78.25,98,209,6,133.38,36,0,"26,577",88.00%,"55,600",28.96,2.09,"96,690",1.74,1.83,294.08
G31-63,H3,"39,000",L7,2480.4,14-Jan-00,"36,344","73,761",2.03,61,57.32,43,98,8,174.64,37,0,"36,387",93.30%,"73,859",29.78,2.03,"120,930",1.64,1.74,312.61
G31-63,H4,"39,200",L6,"2,468",15-Jan-00,"36,966","83,158",2.25,61,57.32,50,115,8,174.64,37,0,"37,016",94.43%,"83,273",33.74,2.25,"137,100",1.65,1.7,348.73
G31-63,H5,"39,600",L6,2480.4,15-Jan-00,"38,054","85,164",2.24,60,57.32,63,144,7,174.64,37,0,"38,117",96.26%,"85,308",34.39,2.24,"141,820",1.66,1.72,350.22
G31-63,H6,"38,100",L1,2468.4,14-Jan-00,"35,688","86,219",2.42,60,57.32,144,331,7,174.63,36,0,"35,832",94.05%,"86,550",35.06,2.42,"140,540",1.62,1.63,388.6
G31-63,H7,"38,000",L1,"2,480",13-Jan-00,"33,846","86,485",2.56,60,57,82,188,7,175,36,0,"33,928",89.28%,"86,673",34.94,2.55,"139,960",1.61,1.59,392.35
G31-63,H8,"39,800",洋坑,2468.4,15-Jan-00,"37,920","86,213",2.27,102,97.08,114,263,15,321.47,36,0,"38,034",95.56%,"86,475",35.03,2.27,"143,970",1.66,1.71,362.51
G31-63,H9,"39,700",洋坑,2480.4,14-Jan-00,"36,469","83,134",2.28,42,39.77,107,250,7,146.84,37,0,"36,576",92.13%,"83,384",33.62,2.28,"145,450",1.74,1.79,325.43
G31-63,H10,"39,700",大岗垅平,2468.4,15-Jan-00,"36,949","81,124",2.2,42,39.77,97,224,7,146.83,37,0,"37,046",93.31%,"81,348",32.96,2.2,"139,430",1.71,1.78,323.11
G31-63,H11,"39,500",大岗垅平,2480.4,14-Jan-00,"37,030","84,618",2.29,42,39.76,98,226,7,146.83,37,0,"37,128",93.99%,"84,844",34.21,2.29,"144,300",1.7,1.74,341.33
G31-63,H12,"37,000",L5,2468.4,14-Jan-00,"35,150","84,779",2.41,42,39.76,82,191,7,146.82,37,0,"35,232",95.22%,"84,970",34.42,2.41,"139,500",1.64,1.65,378.05
